# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
GO:0034502	protein localization to chromosome	2	2	7.12395000186e-06	0.000546169500143
GO:0050881	musculoskeletal movement	2	2	7.12395000186e-06	0.000546169500143
GO:0006298	mismatch repair	3	12	3.89187146032e-06	0.000546169500143
GO:0048630	skeletal muscle tissue growth	2	3	2.13358844334e-05	0.000817875569946
GO:0006284	base-excision repair	3	20	1.98752739809e-05	0.000817875569946
GO:0071340	skeletal muscle acetylcholine-gated channel clustering	2	3	2.13358844334e-05	0.000817875569946
GO:0006260	DNA replication	3	23	3.07082168531e-05	0.00100898426803
GO:0006289	nucleotide-excision repair	3	26	4.48370958636e-05	0.00114583689429
GO:0007274	neuromuscular synaptic transmission	2	4	4.25999686762e-05	0.00114583689429
GO:0007271	synaptic transmission, cholinergic	2	5	7.08804986613e-05	0.00163025146921
GO:0007528	neuromuscular junction development	2	9	0.00025345754115	0.00529956676951
GO:1901526	positive regulation of mitophagy	2	14	0.000635318256686	0.0121769332532
GO:0000724	double-strand break repair via homologous recombination	3	71	0.000908196692899	0.0160680953359
GO:0050808	synapse organization	2	23	0.00173981035167	0.0240431282949
GO:2000541	positive regulation of protein geranylgeranylation	1	1	0.00271791885073	0.0240431282949
GO:0007613	memory	2	28	0.00257767162616	0.0240431282949
GO:0045887	positive regulation of synaptic assembly at neuromuscular junction	1	1	0.00271791885073	0.0240431282949
GO:0001941	postsynaptic membrane organization	1	1	0.00271791885073	0.0240431282949
GO:0050803	regulation of synapse structure or activity	1	1	0.00271791885073	0.0240431282949
GO:0008582	regulation of synaptic assembly at neuromuscular junction	1	1	0.00271791885073	0.0240431282949
GO:0070206	protein trimerization	1	1	0.00271791885073	0.0240431282949
GO:0031583	phospholipase D-activating G protein-coupled receptor signaling pathway	1	1	0.00271791885073	0.0240431282949
GO:0100001	regulation of skeletal muscle contraction by action potential	1	1	0.00271791885073	0.0240431282949
GO:0051124	synaptic assembly at neuromuscular junction	1	1	0.00271791885073	0.0240431282949
GO:1905945	regulation of response to calcium ion	1	1	0.00271791885073	0.0240431282949
GO:0045752	positive regulation of Toll signaling pathway	1	1	0.00271791885073	0.0240431282949
GO:0001934	positive regulation of protein phosphorylation	3	107	0.00295447087056	0.0251677148233
GO:0042391	regulation of membrane potential	2	33	0.00357048079473	0.0271435687576
GO:2000479	regulation of cAMP-dependent protein kinase activity	1	2	0.00542871375152	0.0271435687576
GO:0007617	mating behavior	1	2	0.00542871375152	0.0271435687576
GO:0031247	actin rod assembly	1	2	0.00542871375152	0.0271435687576
GO:0051580	regulation of neurotransmitter uptake	1	2	0.00542871375152	0.0271435687576
GO:0141137	positive regulation of gene expression, epigenetic	1	2	0.00542871375152	0.0271435687576
