# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
GO:1904315	transmitter-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential	3	5	4.57814570375e-08	1.00719205483e-06
GO:0022848	acetylcholine-gated monoatomic cation-selective channel activity	3	7	1.59892269485e-07	1.75881496434e-06
GO:0042166	acetylcholine binding	2	5	2.95889199252e-05	0.000216985412785
GO:0015464	acetylcholine receptor activity	2	8	8.25931480645e-05	0.000454262314355
GO:0004378	GDP-Man:Man1GlcNAc2-PP-Dol alpha-1,3-mannosyltransferase activity	1	1	0.0017831669044	0.00560423884241
GO:0102704	GDP-Man:Man2GlcNAc2-PP-dolichol alpha-1,6-mannosyltransferase activity	1	1	0.0017831669044	0.00560423884241
GO:0000033	alpha-1,3-mannosyltransferase activity	1	1	0.0017831669044	0.00560423884241
GO:0004360	glutamine-fructose-6-phosphate transaminase (isomerizing) activity	1	2	0.00356336575073	0.0097992558145
GO:0015276	ligand-gated monoatomic ion channel activity	1	3	0.00534060112681	0.011749322479
GO:0002162	dystroglycan binding	1	3	0.00534060112681	0.011749322479
GO:0033130	acetylcholine receptor binding	1	4	0.0071148776142	0.0142297552284
GO:0030971	receptor tyrosine kinase binding	1	7	0.0124199994605	0.0210184606254
GO:0015267	channel activity	1	7	0.0124199994605	0.0210184606254
GO:0033691	sialic acid binding	1	8	0.0141824860763	0.0222867638342
GO:0035374	chondroitin sulfate binding	1	9	0.015942036613	0.023381653699
GO:0043395	heparan sulfate proteoglycan binding	1	10	0.017698655612	0.0243356514665
GO:0097110	scaffold protein binding	1	14	0.0246959068561	0.0319594088726
GO:0005248	voltage-gated sodium channel activity	1	17	0.0299132857577	0.0365606825928
