# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
R-HSA-9010553	Regulation of expression of SLITs and ROBOs	22	132	2.17552587615e-09	1.62729335536e-06
R-HSA-9907900	Proteasome assembly	14	51	2.35450776029e-09	1.7611718047e-06
R-HSA-450408	AUF1 (hnRNP D0) binds and destabilizes mRNA	12	37	4.02897443595e-09	3.01367287809e-06
R-HSA-211733	Regulation of activated PAK-2p34 by proteasome mediated degradation	11	32	9.02961678179e-09	6.75415335278e-06
R-HSA-69481	G2/M Checkpoints	11	32	9.02961678179e-09	6.75415335278e-06
R-HSA-349425	Autodegradation of the E3 ubiquitin ligase COP1	11	33	1.31037103831e-08	9.80157536658e-06
R-HSA-69601	Ubiquitin Mediated Degradation of Phosphorylated Cdc25A	11	34	1.87405140865e-08	1.40179045367e-05
R-HSA-180534	Vpu mediated degradation of CD4	11	34	1.87405140865e-08	1.40179045367e-05
R-HSA-75815	Ubiquitin-dependent degradation of Cyclin D	11	34	1.87405140865e-08	1.40179045367e-05
R-HSA-1236974	ER-Phagosome pathway	15	69	2.05798084623e-08	1.53936967298e-05
R-HSA-180585	Vif-mediated degradation of APOBEC3G	11	35	2.64409394076e-08	1.97778226768e-05
R-HSA-1236978	Cross-presentation of soluble exogenous antigens (endosomes)	11	35	2.64409394076e-08	1.97778226768e-05
R-HSA-8854050	FBXL7 down-regulates AURKA during mitotic entry and in early mitosis	11	36	3.68366743521e-08	2.75538324154e-05
R-HSA-9762114	GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2	11	36	3.68366743521e-08	2.75538324154e-05
R-HSA-382556	ABC-family proteins mediated transport	14	63	4.56042081619e-08	3.41119477051e-05
R-HSA-5362768	Hh mutants are degraded by ERAD	11	37	5.07168550845e-08	3.79362076032e-05
R-HSA-350562	Regulation of ornithine decarboxylase (ODC)	11	37	5.07168550845e-08	3.79362076032e-05
R-HSA-9604323	Negative regulation of NOTCH4 signaling	11	37	5.07168550845e-08	3.79362076032e-05
R-HSA-4641257	Degradation of AXIN	11	37	5.07168550845e-08	3.79362076032e-05
R-HSA-174113	SCF-beta-TrCP mediated degradation of Emi1	11	37	5.07168550845e-08	3.79362076032e-05
