# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
R-HSA-3371511	HSF1 activation	3	10	2.61835714945e-06	0.000450357429706
R-HSA-110312	Translesion synthesis by REV1	3	12	4.78161851013e-06	0.000822438383743
R-HSA-5655862	Translesion synthesis by POLK	3	13	6.20398357603e-06	0.00106708517508
R-HSA-5656121	Translesion synthesis by POLI	3	13	6.20398357603e-06	0.00106708517508
R-HSA-69166	Removal of the Flap Intermediate	3	14	7.88058383982e-06	0.00135546042045
R-HSA-5358606	Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)	3	14	7.88058383982e-06	0.00135546042045
R-HSA-5358565	Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)	3	14	7.88058383982e-06	0.00135546042045
R-HSA-110320	Translesion Synthesis by POLH	3	15	9.83152417372e-06	0.00169102215788
R-HSA-174437	Removal of the Flap Intermediate from the C-strand	3	17	1.46360329819e-05	0.00251739767289
R-HSA-5651801	PCNA-Dependent Long Patch Base Excision Repair	3	21	2.84038117224e-05	0.00488545561625
R-HSA-5696397	Gap-filling DNA repair synthesis and ligation in GG-NER	3	21	2.84038117224e-05	0.00488545561625
R-HSA-3371453	Regulation of HSF1-mediated heat shock response	4	66	3.66292037828e-05	0.00630022305065
R-HSA-110314	Recognition of DNA damage by PCNA-containing replication complex	3	24	4.29728160982e-05	0.00739132436888
R-HSA-3000178	ECM proteoglycans	4	70	4.62281316309e-05	0.00795123864051
R-HSA-5656169	Termination of translesion DNA synthesis	3	28	6.90142669945e-05	0.0118704539231
R-HSA-68962	Activation of the pre-replicative complex	3	33	0.000113824275085	0.0195777753146
R-HSA-6783310	Fanconi Anemia Pathway	3	34	0.0001245963592	0.0214305737825
R-HSA-9709570	Impaired BRCA2 binding to RAD51	3	34	0.0001245963592	0.0214305737825
R-HSA-5696395	Formation of Incision Complex in GG-NER	3	35	0.000136011833896	0.0233940354301
R-HSA-176187	Activation of ATR in response to replication stress	3	36	0.000148087560236	0.0254710603606
R-HSA-5696400	Dual Incision in GG-NER	3	36	0.000148087560236	0.0254710603606
R-HSA-5685938	HDR through Single Strand Annealing (SSA)	3	36	0.000148087560236	0.0254710603606
R-HSA-5693616	Presynaptic phase of homologous DNA pairing and strand exchange	3	39	0.000188442675754	0.0324121402296
R-HSA-5685942	HDR through Homologous Recombination (HRR)	3	45	0.000289190870052	0.0497408296489
