# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
R-HSA-9010553	Regulation of expression of SLITs and ROBOs	14	132	1.26838853693e-07	7.47080848253e-05
R-HSA-379716	Cytosolic tRNA aminoacylation	6	24	3.65381027064e-06	0.000806842146209
R-HSA-450408	AUF1 (hnRNP D0) binds and destabilizes mRNA	7	37	4.10955252738e-06	0.000806842146209
R-HSA-9604323	Negative regulation of NOTCH4 signaling	6	37	5.17401342645e-05	0.00117211304161
R-HSA-9856872	Malate-aspartate shuttle	4	9	1.30152961762e-05	0.00117211304161
R-HSA-350562	Regulation of ornithine decarboxylase (ODC)	6	37	5.17401342645e-05	0.00117211304161
R-HSA-8939902	Regulation of RUNX2 expression and activity	7	53	4.80128836439e-05	0.00117211304161
R-HSA-211733	Regulation of activated PAK-2p34 by proteasome mediated degradation	6	32	2.17676102233e-05	0.00117211304161
R-HSA-349425	Autodegradation of the E3 ubiquitin ligase COP1	6	33	2.62016287442e-05	0.00117211304161
R-HSA-8854050	FBXL7 down-regulates AURKA during mitotic entry and in early mitosis	6	36	4.4016256146e-05	0.00117211304161
R-HSA-174113	SCF-beta-TrCP mediated degradation of Emi1	6	37	5.17401342645e-05	0.00117211304161
R-HSA-5362768	Hh mutants are degraded by ERAD	6	37	5.17401342645e-05	0.00117211304161
R-HSA-180534	Vpu mediated degradation of CD4	6	34	3.13341767274e-05	0.00117211304161
R-HSA-69601	Ubiquitin Mediated Degradation of Phosphorylated Cdc25A	6	34	3.13341767274e-05	0.00117211304161
R-HSA-3000178	ECM proteoglycans	8	70	4.01714000794e-05	0.00117211304161
R-HSA-2408522	Selenoamino acid metabolism	4	11	3.31158186514e-05	0.00117211304161
R-HSA-3371511	HSF1 activation	4	10	2.13806121904e-05	0.00117211304161
R-HSA-9762114	GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2	6	36	4.4016256146e-05	0.00117211304161
R-HSA-1236978	Cross-presentation of soluble exogenous antigens (endosomes)	6	35	3.72442480316e-05	0.00117211304161
R-HSA-1236974	ER-Phagosome pathway	8	69	3.61412464862e-05	0.00117211304161
R-HSA-69481	G2/M Checkpoints	6	32	2.17676102233e-05	0.00117211304161
R-HSA-75815	Ubiquitin-dependent degradation of Cyclin D	6	34	3.13341767274e-05	0.00117211304161
R-HSA-180585	Vif-mediated degradation of APOBEC3G	6	35	3.72442480316e-05	0.00117211304161
R-HSA-4641257	Degradation of AXIN	6	37	5.17401342645e-05	0.00117211304161
R-HSA-5658442	Regulation of RAS by GAPs	7	48	2.47804059947e-05	0.00117211304161
R-HSA-195253	Degradation of beta-catenin by the destruction complex	7	49	2.84660700606e-05	0.00117211304161
R-HSA-8852276	The role of GTSE1 in G2/M progression after G2 checkpoint	7	54	5.43166023875e-05	0.00118490662245
R-HSA-8939236	RUNX1 regulates transcription of genes involved in differentiation of HSCs	8	74	6.02454922458e-05	0.00122900789245
R-HSA-4641258	Degradation of DVL	6	38	6.05114242461e-05	0.00122900789245
R-HSA-5358346	Hedgehog ligand biogenesis	6	40	8.16069058994e-05	0.00154041282057
R-HSA-8941858	Regulation of RUNX3 expression and activity	6	40	8.16069058994e-05	0.00154041282057
R-HSA-9824272	Somitogenesis	6	41	9.41508684897e-05	0.00154041282057
R-HSA-5676590	NIK-->noncanonical NF-kB signaling	6	41	9.41508684897e-05	0.00154041282057
R-HSA-5610783	Degradation of GLI2 by the proteasome	6	41	9.41508684897e-05	0.00154041282057
R-HSA-5610780	Degradation of GLI1 by the proteasome	6	41	9.41508684897e-05	0.00154041282057
R-HSA-5610785	GLI3 is processed to GLI3R by the proteasome	6	41	9.41508684897e-05	0.00154041282057
R-HSA-5607761	Dectin-1 mediated noncanonical NF-kB signaling	6	42	0.000108181884463	0.00172213864727
R-HSA-5678895	Defective CFTR causes cystic fibrosis	6	43	0.000123824482064	0.00191927947199
R-HSA-382556	ABC-family proteins mediated transport	7	63	0.000147645899414	0.00222983166039
R-HSA-187577	SCF(Skp2)-mediated degradation of p27/p21	6	45	0.0001604720879	0.0022504299946
R-HSA-1234176	Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha	6	45	0.0001604720879	0.0022504299946
R-HSA-4608870	Asymmetric localization of PCP proteins	6	45	0.0001604720879	0.0022504299946
R-HSA-9856649	Transcriptional and post-translational regulation of MITF-M expression and activity	6	46	0.000181755729449	0.00248963080571
R-HSA-174084	Autodegradation of Cdh1 by Cdh1:APC/C	6	48	0.00023098361136	0.0030920306157
R-HSA-1169091	Activation of NF-kappaB in B cells	6	49	0.00025924187294	0.0033194231122
R-HSA-174154	APC/C:Cdc20 mediated degradation of Securin	6	49	0.00025924187294	0.0033194231122
R-HSA-8948751	Regulation of PTEN stability and activity	6	50	0.000290148759091	0.00348770651233
R-HSA-5668541	TNFR2 non-canonical NF-kB pathway	6	50	0.000290148759091	0.00348770651233
R-HSA-5687128	MAPK6/MAPK4 signaling	7	70	0.00028714342682	0.00348770651233
R-HSA-9907900	Proteasome assembly	6	51	0.000323875806602	0.00381525700178
R-HSA-975957	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)	8	95	0.000350115498165	0.00400742560912
R-HSA-5632684	Hedgehog 'on' state	6	52	0.000360600267034	0.00400742560912
R-HSA-68949	Orc1 removal from chromatin	6	52	0.000360600267034	0.00400742560912
R-HSA-5689603	UCH proteinases	7	75	0.000440161036825	0.00458571213802
R-HSA-975956	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)	7	75	0.000440161036825	0.00458571213802
R-HSA-174184	Cdc20:Phospho-APC/C mediated degradation of Cyclin A	6	54	0.000443778594002	0.00458571213802
R-HSA-69017	CDK-mediated phosphorylation and removal of Cdc6	6	54	0.000443778594002	0.00458571213802
R-HSA-174178	APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1	6	55	0.000490614888153	0.00498227877797
R-HSA-9609523	Insertion of tail-anchored proteins into the endoplasmic reticulum membrane	4	21	0.000519974416573	0.00519093104003
R-HSA-9755511	KEAP1-NFE2L2 pathway	6	56	0.000541213273324	0.0053129102998
R-HSA-9634285	Constitutive Signaling by Overexpressed ERBB2	3	10	0.0006691774976	0.00646140239486
R-HSA-5607764	CLEC7A (Dectin-1) signaling	6	59	0.000717653242716	0.0068177058058
R-HSA-3000171	Non-integrin membrane-ECM interactions	5	40	0.000779911800146	0.00729155635375
R-HSA-2871837	FCERI mediated NF-kB activation	6	61	0.000857978191361	0.00789608054237
R-HSA-68867	Assembly of the pre-replicative complex	6	63	0.00101856907209	0.00922980282249
R-HSA-110312	Translesion synthesis by REV1	3	12	0.00119394714758	0.0106550737867
R-HSA-3371453	Regulation of HSF1-mediated heat shock response	6	66	0.00130160381061	0.0112741859478
R-HSA-9020702	Interleukin-1 signaling	6	66	0.00130160381061	0.0112741859478
R-HSA-1799339	SRP-dependent cotranslational protein targeting to membrane	7	91	0.00140342343301	0.0119799478557
R-HSA-156902	Peptide chain elongation	6	68	0.00152126886113	0.0123546304586
R-HSA-140342	Apoptosis induced DNA fragmentation	3	13	0.00153121905514	0.0123546304586
R-HSA-5655862	Translesion synthesis by POLK	3	13	0.00153121905514	0.0123546304586
R-HSA-5656121	Translesion synthesis by POLI	3	13	0.00153121905514	0.0123546304586
R-HSA-9665249	Resistance of ERBB2 KD mutants to afatinib	2	4	0.00197326573394	0.0127720166735
R-HSA-9665247	Resistance of ERBB2 KD mutants to osimertinib	2	4	0.00197326573394	0.0127720166735
R-HSA-9665246	Resistance of ERBB2 KD mutants to neratinib	2	4	0.00197326573394	0.0127720166735
R-HSA-9665245	Resistance of ERBB2 KD mutants to tesevatinib	2	4	0.00197326573394	0.0127720166735
R-HSA-9665244	Resistance of ERBB2 KD mutants to sapitinib	2	4	0.00197326573394	0.0127720166735
R-HSA-5637810	Constitutive Signaling by EGFRvIII	3	14	0.00192259011501	0.0127720166735
R-HSA-9665250	Resistance of ERBB2 KD mutants to AEE788	2	4	0.00197326573394	0.0127720166735
