# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
R-HSA-3371511	HSF1 activation	3	10	2.61835714945e-06	0.000193637202921
R-HSA-5655862	Translesion synthesis by POLK	3	13	6.20398357603e-06	0.000193637202921
R-HSA-5656121	Translesion synthesis by POLI	3	13	6.20398357603e-06	0.000193637202921
R-HSA-110312	Translesion synthesis by REV1	3	12	4.78161851013e-06	0.000193637202921
R-HSA-69166	Removal of the Flap Intermediate	3	14	7.88058383982e-06	0.000193637202921
R-HSA-5358606	Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)	3	14	7.88058383982e-06	0.000193637202921
R-HSA-5358565	Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)	3	14	7.88058383982e-06	0.000193637202921
R-HSA-110320	Translesion Synthesis by POLH	3	15	9.83152417372e-06	0.000211377769735
R-HSA-174437	Removal of the Flap Intermediate from the C-strand	3	17	1.46360329819e-05	0.000279710852543
R-HSA-5651801	PCNA-Dependent Long Patch Base Excision Repair	3	21	2.84038117224e-05	0.00044413232875
R-HSA-5696397	Gap-filling DNA repair synthesis and ligation in GG-NER	3	21	2.84038117224e-05	0.00044413232875
R-HSA-3371453	Regulation of HSF1-mediated heat shock response	4	66	3.66292037828e-05	0.000525018587554
R-HSA-3000178	ECM proteoglycans	4	70	4.62281316309e-05	0.000567945617179
R-HSA-110314	Recognition of DNA damage by PCNA-containing replication complex	3	24	4.29728160982e-05	0.000567945617179
R-HSA-5656169	Termination of translesion DNA synthesis	3	28	6.90142669945e-05	0.000791363594871
R-HSA-6783310	Fanconi Anemia Pathway	3	34	0.0001245963592	0.00115777547093
R-HSA-176187	Activation of ATR in response to replication stress	3	36	0.000148087560236	0.00115777547093
R-HSA-68962	Activation of the pre-replicative complex	3	33	0.000113824275085	0.00115777547093
R-HSA-5696395	Formation of Incision Complex in GG-NER	3	35	0.000136011833896	0.00115777547093
R-HSA-5696400	Dual Incision in GG-NER	3	36	0.000148087560236	0.00115777547093
R-HSA-9709570	Impaired BRCA2 binding to RAD51	3	34	0.0001245963592	0.00115777547093
R-HSA-5685938	HDR through Single Strand Annealing (SSA)	3	36	0.000148087560236	0.00115777547093
R-HSA-5693616	Presynaptic phase of homologous DNA pairing and strand exchange	3	39	0.000188442675754	0.00140922348824
R-HSA-5685942	HDR through Homologous Recombination (HRR)	3	45	0.000289190870052	0.0020725345687
R-HSA-912446	Meiotic recombination	3	51	0.000419479123603	0.00288601637039
R-HSA-6782210	Gap-filling DNA repair synthesis and ligation in TC-NER	3	57	0.000582538191681	0.00385371419112
R-HSA-6782135	Dual incision in TC-NER	3	58	0.000613117885934	0.0039057880141
R-HSA-69473	G2/M DNA damage checkpoint	3	62	0.000745664457407	0.00458051023836
R-HSA-5693607	Processing of DNA double-strand break ends	3	71	0.00110730760833	0.00656747960804
R-HSA-6804756	Regulation of TP53 Activity through Phosphorylation	3	84	0.00179991267227	0.010319499321
R-HSA-8957275	Post-translational protein phosphorylation	3	95	0.00255933890136	0.0142002029366
R-HSA-4085023	Defective GFPT1 causes CMSTA1	1	1	0.00291211648466	0.014731883393
R-HSA-168330	Viral RNP Complexes in the Host Cell Nucleus	1	1	0.00291211648466	0.014731883393
R-HSA-4549349	Defective ALG2 causes CDG-1i	1	1	0.00291211648466	0.014731883393
R-HSA-381426	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)	3	110	0.00387598248262	0.0190476853432
R-HSA-3371497	HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand	2	49	0.00883822266732	0.04000458681
R-HSA-9753510	Signaling by RAS GAP mutants	1	3	0.0087118363717	0.04000458681
R-HSA-9753512	Signaling by RAS GTPase mutants	1	3	0.0087118363717	0.04000458681
