#Position	OddsRatio	P-value
8	132.571428571	1.07673834261e-14
9	90.9464285714	5.96417277615e-13
10	97.9423076923	3.44248439285e-13
11	71.0769230769	1.51228257115e-11
12	53.1923076923	5.24444890163e-10
13	40.4395604396	1.46509463825e-08
14	30.8942307692	3.33228427525e-07
15	30.8269230769	3.37949552588e-07
16	21.7619047619	8.69531511562e-06
17	15.2	0.000161467957608
18	10.3409090909	0.00214056809898
19	6.67647058824	0.0197972458309
20	6.67647058824	0.0197972458309
21	3.87179487179	0.122568164937
22	3.87179487179	0.122568164937
23	1.6992481203	0.47260746084
24	1.6992481203	0.47260746084
25	0.0	1.0
26	0.0	1.0
27	0.0	1.0
28	0.0	1.0
29	0.0	1.0
30	0.0	1.0
31	0.0	1.0
32	0.0	1.0
33	0.0	1.0
34	1.6992481203	0.47260746084
35	1.6992481203	0.47260746084
36	1.6992481203	0.47260746084
37	3.87179487179	0.122568164937
38	3.87179487179	0.122568164937
39	3.87179487179	0.122568164937
40	3.87179487179	0.122568164937
41	3.87179487179	0.122568164937
42	3.87179487179	0.122568164937
43	6.67647058824	0.0197972458309
44	6.67647058824	0.0197972458309
45	6.67647058824	0.0197972458309
46	6.67647058824	0.0197972458309
47	6.67647058824	0.0197972458309
48	6.67647058824	0.0197972458309
49	3.87179487179	0.122568164937
50	3.87179487179	0.122568164937
51	3.87179487179	0.122568164937
52	1.6992481203	0.47260746084
53	1.6992481203	0.47260746084
54	1.6992481203	0.47260746084
55	1.6992481203	0.47260746084
56	1.6992481203	0.47260746084
57	1.6992481203	0.47260746084
58	1.6992481203	0.47260746084
59	1.6992481203	0.47260746084
60	1.6992481203	0.47260746084
61	1.6992481203	0.47260746084
62	1.6992481203	0.47260746084
63	1.6992481203	0.47260746084
64	1.6992481203	0.47260746084
65	1.6992481203	0.47260746084
66	1.6992481203	0.47260746084
67	1.6992481203	0.47260746084
68	1.6992481203	0.47260746084
69	1.6992481203	0.47260746084
70	1.6992481203	0.47260746084
71	1.6992481203	0.47260746084
72	1.6992481203	0.47260746084
73	0.0	1.0
74	0.0	1.0
75	0.0	1.0
76	0.0	1.0
77	0.0	1.0
78	0.0	1.0
79	0.0	1.0
80	0.0	1.0
81	0.0	1.0
82	0.0	1.0
83	0.0	1.0
84	0.0	1.0
85	0.0	1.0
86	0.0	1.0
87	0.0	1.0
88	0.0	1.0
89	0.0	1.0
90	0.0	1.0
91	0.0	1.0
92	0.0	1.0
93	0.0	1.0
94	0.0	1.0
95	0.0	1.0
96	0.0	1.0
97	0.0	1.0
98	0.0	1.0
99	0.0	1.0
100	0.0	1.0
101	0.0	1.0
102	0.0	1.0
103	0.0	1.0
104	0.0	1.0
105	0.0	1.0
106	1.6992481203	0.47260746084
107	1.6992481203	0.47260746084
108	1.6992481203	0.47260746084
109	1.6992481203	0.47260746084
110	1.6992481203	0.47260746084
111	1.6992481203	0.47260746084
112	1.6992481203	0.47260746084
113	3.87179487179	0.122568164937
114	3.87179487179	0.122568164937
115	3.87179487179	0.122568164937
116	3.87179487179	0.122568164937
117	3.87179487179	0.122568164937
118	3.87179487179	0.122568164937
119	3.87179487179	0.122568164937
120	3.87179487179	0.122568164937
121	1.6992481203	0.47260746084
122	1.6992481203	0.47260746084
123	1.6992481203	0.47260746084
124	1.6992481203	0.47260746084
125	1.6992481203	0.47260746084
126	1.6992481203	0.47260746084
127	1.6992481203	0.47260746084
128	0.0	1.0
129	0.0	1.0
130	0.0	1.0
131	0.0	1.0
132	0.0	1.0
133	0.0	1.0
134	0.0	1.0
135	0.0	1.0
136	0.0	1.0
137	0.0	1.0
138	0.0	1.0
139	0.0	1.0
140	0.0	1.0
141	0.0	1.0
142	0.0	1.0
143	0.0	1.0
144	0.0	1.0
145	0.0	1.0
146	0.0	1.0
