BIANA ID	UniProt ID	Gene Symbol	Description	Gene ID	Equivalent Entries
14486	P35499	SCN4A	RecName: Full=Sodium channel protein type 4 subunit alpha {ECO:0000305}; AltName: Full=SkM1 {ECO:0000303|PubMed:1315496}; AltName: Full=Sodium channel protein skeletal muscle subunit alpha; AltName: Full=Sodium channel protein type IV subunit alpha; AltName: Full=Voltage-gated sodium channel subunit alpha Nav1.4 {ECO:0000305|PubMed:12766226};	6329	-
39745	O75096	LRP4	RecName: Full=Low-density lipoprotein receptor-related protein 4; Short=LRP-4; AltName: Full=Multiple epidermal growth factor-like domains 7; Flags: Precursor;	4038	-
49328	Q18PE1	DOK7	RecName: Full=Protein Dok-7; AltName: Full=Downstream of tyrosine kinase 7;	285489	-
11064	P02708	CHRNA1	RecName: Full=Acetylcholine receptor subunit alpha {ECO:0000305}; Flags: Precursor;	1134	-
57473	Q9H553	ALG2	RecName: Full=Alpha-1,3/1,6-mannosyltransferase ALG2; EC=2.4.1.132 {ECO:0000269|PubMed:12684507, ECO:0000269|PubMed:35136180}; EC=2.4.1.257 {ECO:0000269|PubMed:12684507, ECO:0000269|PubMed:35136180}; AltName: Full=Asparagine-linked glycosylation protein 2 homolog; AltName: Full=GDP-Man:Man(1)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase; AltName: Full=GDP-Man:Man(1)GlcNAc(2)-PP-dolichol mannosyltransferase; AltName: Full=GDP-Man:Man(2)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase;	85365	-
11543	Q13702	RAPSN	RecName: Full=43 kDa receptor-associated protein of the synapse; Short=RAPsyn; AltName: Full=43 kDa postsynaptic protein; AltName: Full=Acetylcholine receptor-associated 43 kDa protein; AltName: Full=RING finger protein 205;	5913	-
51874	Q9Y215	COLQ	RecName: Full=Acetylcholinesterase collagenic tail peptide; AltName: Full=AChE Q subunit; AltName: Full=Acetylcholinesterase-associated collagen; Flags: Precursor;	8292	-
15568	P11230	CHRNB1	RecName: Full=Acetylcholine receptor subunit beta {ECO:0000305}; Flags: Precursor;	1140	-
11132	P60880	SNAP25	RecName: Full=Synaptosomal-associated protein 25; Short=SNAP-25; AltName: Full=Super protein; Short=SUP; AltName: Full=Synaptosomal-associated 25 kDa protein;	6616	-
10105	Q06210	GFPT1	RecName: Full=Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1; EC=2.6.1.16 {ECO:0000250|UniProtKB:P82808}; AltName: Full=D-fructose-6-phosphate amidotransferase 1; AltName: Full=Glutamine:fructose-6-phosphate amidotransferase 1; Short=GFAT 1; Short=GFAT1 {ECO:0000303|PubMed:26887390}; AltName: Full=Hexosephosphate aminotransferase 1;	2673	-
10503	Q07001	CHRND	RecName: Full=Acetylcholine receptor subunit delta {ECO:0000305}; Flags: Precursor;	1144	-
15116	O15146	MUSK	RecName: Full=Muscle, skeletal receptor tyrosine-protein kinase; EC=2.7.10.1 {ECO:0000269|PubMed:25029443}; AltName: Full=Muscle-specific tyrosine-protein kinase receptor; Short=MuSK; Short=Muscle-specific kinase receptor; Flags: Precursor;	4593	-
11766	P28329	CHAT	RecName: Full=Choline O-acetyltransferase; Short=CHOACTase; Short=ChAT; Short=Choline acetylase; EC=2.3.1.6 {ECO:0000269|PubMed:17144655};	1103	-
9486	O00468	AGRN	RecName: Full=Agrin; Contains: RecName: Full=Agrin N-terminal 110 kDa subunit; Contains: RecName: Full=Agrin C-terminal 110 kDa subunit; Contains: RecName: Full=Agrin C-terminal 90 kDa fragment; Short=C90; Contains: RecName: Full=Agrin C-terminal 22 kDa fragment; Short=C22; Flags: Precursor;	375790	-
14073	Q4J6C6	PREPL	RecName: Full=Prolyl endopeptidase-like; EC=3.4.21.- {ECO:0000269|PubMed:16143824, ECO:0000269|PubMed:16385448, ECO:0000269|PubMed:28726805}; AltName: Full=Prolylendopeptidase-like;	9581	-
