# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
GO:0002009	morphogenesis of an epithelium	2	6	7.90321079403e-06	0.000300322010173
GO:0061436	establishment of skin barrier	2	20	9.95642980198e-05	0.00189172166238
GO:0034502	protein localization to chromosome	1	2	0.00155256878611	0.0117995227745
GO:1990683	DNA double-strand break attachment to nuclear envelope	1	2	0.00155256878611	0.0117995227745
GO:2000536	negative regulation of entry of bacterium into host cell	1	2	0.00155256878611	0.0117995227745
GO:0051546	keratinocyte migration	1	4	0.00310302800175	0.0147343756964
GO:0030951	establishment or maintenance of microtubule cytoskeleton polarity	1	4	0.00310302800175	0.0147343756964
GO:1903243	negative regulation of cardiac muscle hypertrophy in response to stress	1	5	0.00387746728853	0.0147343756964
GO:0051702	biological process involved in interaction with symbiont	1	5	0.00387746728853	0.0147343756964
GO:0031424	keratinization	1	3	0.0023280619366	0.0147343756964
GO:0042633	hair cycle	1	6	0.0046513801042	0.0160684039963
GO:0031069	hair follicle morphogenesis	1	7	0.00542476675522	0.0171784280582
GO:0007517	muscle organ development	1	8	0.00619762754839	0.0181161420645
GO:0032204	regulation of telomere maintenance	1	9	0.00696996279042	0.0189184704312
GO:0006298	mismatch repair	1	12	0.00928381827053	0.0220490683925
GO:0006998	nuclear envelope organization	1	12	0.00928381827053	0.0220490683925
GO:1990166	protein localization to site of double-strand break	1	15	0.0115929548086	0.0259136636898
GO:0090398	cellular senescence	1	17	0.0131297616077	0.0277183856163
GO:0006284	base-excision repair	1	20	0.0154310515731	0.0308621031461
GO:0034504	protein localization to nucleus	1	24	0.0184921332241	0.0334619553579
GO:0006260	DNA replication	1	23	0.0177276445728	0.0334619553579
GO:0030216	keratinocyte differentiation	1	27	0.0207824763874	0.0343362653356
GO:0006289	nucleotide-excision repair	1	26	0.0200195488274	0.0343362653356
GO:0042060	wound healing	1	30	0.0230681417469	0.0365245577659
GO:0000723	telomere maintenance	1	38	0.0291404423593	0.0442934723862
