# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
GO:0003735	structural constituent of ribosome	39	79	3.33728193884e-19	2.08246392983e-16
GO:0003724	RNA helicase activity	14	23	2.7370886824e-09	8.53971668908e-07
GO:0048027	mRNA 5'-UTR binding	11	20	6.11050632639e-07	0.000127098531589
GO:0003730	mRNA 3'-UTR binding	18	52	1.15156931863e-06	0.000179644813706
GO:0003729	mRNA binding	21	73	4.62822209153e-06	0.000577602117023
GO:0003743	translation initiation factor activity	12	28	5.57993067397e-06	0.000580312790093
GO:0003723	RNA binding	33	154	1.38300380363e-05	0.00123284910495
GO:0044183	protein folding chaperone	11	30	7.83224413285e-05	0.00610915042362
GO:0008143	poly(A) binding	7	13	9.14998557635e-05	0.00634398999961
GO:0051015	actin filament binding	22	95	0.000111875793659	0.00698104952433
GO:0045182	translation regulator activity	5	7	0.000166706114232	0.00945678320734
GO:0016887	ATP hydrolysis activity	20	86	0.000213179906873	0.0110853551574
GO:0003678	DNA helicase activity	9	24	0.000290682551755	0.0139527624842
GO:1990247	N6-methyladenosine-containing RNA reader activity	6	12	0.000506570944363	0.0225785906631
GO:0003697	single-stranded DNA binding	16	68	0.000778431599754	0.0323827545497
GO:0036402	proteasome-activating activity	3	3	0.000967891015898	0.03774774962
