# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
R-HSA-6809371	Formation of the cornified envelope	49	115	2.67969523346e-41	2.0419277679e-38
R-HSA-6805567	Keratinization	49	128	1.44658714749e-38	5.51149703192e-36
R-HSA-450408	AUF1 (hnRNP D0) binds and destabilizes mRNA	11	37	3.44872443256e-08	8.7597600587e-06
R-HSA-3371511	HSF1 activation	6	10	3.48587167516e-07	6.64058554118e-05
R-HSA-2995383	Initiation of Nuclear Envelope (NE) Reformation	7	19	2.26916053385e-06	0.000345820065359
R-HSA-3371453	Regulation of HSF1-mediated heat shock response	12	66	2.77501105034e-06	0.000352426403393
R-HSA-3371497	HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand	10	49	6.43551166743e-06	0.00070055141294
R-HSA-8852276	The role of GTSE1 in G2/M progression after G2 checkpoint	10	54	1.60124215437e-05	0.00152518315204
R-HSA-9837999	Mitochondrial protein degradation	13	95	2.73074587501e-05	0.00231203150751
R-HSA-9010553	Regulation of expression of SLITs and ROBOs	15	132	6.25315067554e-05	0.00476490081476
R-HSA-9013418	RHOBTB2 GTPase cycle	6	22	8.63259132477e-05	0.00548169549123
R-HSA-9013422	RHOBTB1 GTPase cycle	6	22	8.63259132477e-05	0.00548169549123
R-HSA-110320	Translesion Synthesis by POLH	5	15	0.000120296259093	0.00654755353063
R-HSA-4419969	Depolymerization of the Nuclear Lamina	5	15	0.000120296259093	0.00654755353063
R-HSA-156842	Eukaryotic Translation Elongation	3	4	0.000170753747624	0.0081321472306
R-HSA-2980766	Nuclear Envelope Breakdown	4	9	0.000168117371446	0.0081321472306
R-HSA-180585	Vif-mediated degradation of APOBEC3G	7	35	0.000185800487442	0.0083282336136
R-HSA-9725554	Differentiation of keratinocytes in interfollicular epidermis in mammalian skin	7	36	0.000223741368499	0.00947171793313
R-HSA-390450	Folding of actin by CCT/TriC	4	10	0.000272403338743	0.0103785672061
R-HSA-5362768	Hh mutants are degraded by ERAD	7	37	0.000267687674315	0.0103785672061
R-HSA-901042	Calnexin/calreticulin cycle	3	5	0.000415678618463	0.0144146746142
R-HSA-9735871	SARS-CoV-1 targets host intracellular signalling and regulatory pathways	4	11	0.000416171708023	0.0144146746142
R-HSA-5358346	Hedgehog ligand biogenesis	7	40	0.000442543865684	0.0146616706805
R-HSA-9013405	RHOD GTPase cycle	8	53	0.000496467570877	0.0157628453753
R-HSA-110312	Translesion synthesis by REV1	4	12	0.000606937244674	0.0184994472177
R-HSA-9609523	Insertion of tail-anchored proteins into the endoplasmic reticulum membrane	5	21	0.000684227423448	0.01855778464
R-HSA-3371568	Attenuation phase	4	13	0.00085239168294	0.01855778464
R-HSA-211733	Regulation of activated PAK-2p34 by proteasome mediated degradation	6	32	0.000777678869024	0.01855778464
R-HSA-5675482	Regulation of necroptotic cell death	5	21	0.000684227423448	0.01855778464
R-HSA-5678895	Defective CFTR causes cystic fibrosis	7	43	0.000698418275526	0.01855778464
R-HSA-5336415	Uptake and function of diphtheria toxin	3	6	0.000809571842069	0.01855778464
R-HSA-69481	G2/M Checkpoints	6	32	0.000777678869024	0.01855778464
R-HSA-5655862	Translesion synthesis by POLK	4	13	0.00085239168294	0.01855778464
R-HSA-5656121	Translesion synthesis by POLI	4	13	0.00085239168294	0.01855778464
R-HSA-5687128	MAPK6/MAPK4 signaling	9	70	0.000753917431599	0.01855778464
R-HSA-349425	Autodegradation of the E3 ubiquitin ligase COP1	6	33	0.000922619837994	0.0185640701001
R-HSA-1234176	Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha	7	45	0.000925767275334	0.0185640701001
R-HSA-8949613	Cristae formation	6	33	0.000922619837994	0.0185640701001
R-HSA-69166	Removal of the Flap Intermediate	4	14	0.00116031660201	0.019220896755
R-HSA-180534	Vpu mediated degradation of CD4	6	34	0.00108748873156	0.019220896755
R-HSA-69601	Ubiquitin Mediated Degradation of Phosphorylated Cdc25A	6	34	0.00108748873156	0.019220896755
R-HSA-5358606	Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)	4	14	0.00116031660201	0.019220896755
R-HSA-5358565	Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)	4	14	0.00116031660201	0.019220896755
R-HSA-8950505	Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation	6	34	0.00108748873156	0.019220896755
R-HSA-8939236	RUNX1 regulates transcription of genes involved in differentiation of HSCs	9	74	0.0011321800177	0.019220896755
R-HSA-75815	Ubiquitin-dependent degradation of Cyclin D	6	34	0.00108748873156	0.019220896755
R-HSA-9834752	Respiratory syncytial virus genome replication	2	2	0.00124688157905	0.0197942450674
R-HSA-9820962	Assembly and release of respiratory syncytial virus (RSV) virions	2	2	0.00124688157905	0.0197942450674
R-HSA-1236978	Cross-presentation of soluble exogenous antigens (endosomes)	6	35	0.00127404492002	0.0198126985521
R-HSA-164843	2-LTR circle formation	3	7	0.00137969016385	0.0206141942129
R-HSA-5658442	Regulation of RAS by GAPs	7	48	0.00137183919175	0.0206141942129
R-HSA-8854050	FBXL7 down-regulates AURKA during mitotic entry and in early mitosis	6	36	0.00148410563035	0.0213375186854
R-HSA-9762114	GSK3B and BTRC:CUL1-mediated-degradation of NFE2L2	6	36	0.00148410563035	0.0213375186854
R-HSA-195253	Degradation of beta-catenin by the destruction complex	7	49	0.00155287103976	0.0219127357832
R-HSA-390471	Association of TriC/CCT with target proteins during biosynthesis	6	37	0.00171954136374	0.0222083138842
R-HSA-9604323	Negative regulation of NOTCH4 signaling	6	37	0.00171954136374	0.0222083138842
R-HSA-350562	Regulation of ornithine decarboxylase (ODC)	6	37	0.00171954136374	0.0222083138842
R-HSA-174113	SCF-beta-TrCP mediated degradation of Emi1	6	37	0.00171954136374	0.0222083138842
R-HSA-4641257	Degradation of AXIN	6	37	0.00171954136374	0.0222083138842
R-HSA-5668541	TNFR2 non-canonical NF-kB pathway	7	50	0.00175198195482	0.0222501708262
R-HSA-1169408	ISG15 antiviral mechanism	8	65	0.00195788980061	0.0239760409149
R-HSA-9907900	Proteasome assembly	7	51	0.0019703671622	0.0239760409149
R-HSA-4641258	Degradation of DVL	6	38	0.00198227109926	0.0239760409149
R-HSA-9841251	Mitochondrial unfolded protein response (UPRmt)	4	17	0.00253650874591	0.0288480546923
R-HSA-8939902	Regulation of RUNX2 expression and activity	7	53	0.00246989404529	0.0288480546923
R-HSA-9613829	Chaperone Mediated Autophagy	4	17	0.00253650874591	0.0288480546923
R-HSA-174437	Removal of the Flap Intermediate from the C-strand	4	17	0.00253650874591	0.0288480546923
R-HSA-8941858	Regulation of RUNX3 expression and activity	6	40	0.00259750086616	0.0288956027939
