# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
GO:0070286	axonemal dynein complex assembly	4	12	1.55625666391e-08	1.83638286342e-06
GO:0036159	inner dynein arm assembly	3	13	4.01396349754e-06	0.000236823846355
GO:0036158	outer dynein arm assembly	3	15	6.3644851038e-06	0.000250336414083
GO:0035082	axoneme assembly	3	17	9.47993554377e-06	0.000279658098541
GO:0003341	cilium movement	3	27	4.01002294872e-05	0.000946365415899
GO:0060285	cilium-dependent cell motility	2	5	6.09659296363e-05	0.00119899661618
GO:0006298	mismatch repair	2	12	0.000398023305693	0.00670953572454
GO:0006749	glutathione metabolic process	2	18	0.000914136941811	0.0134835198917
GO:0006284	base-excision repair	2	20	0.00113168575855	0.0148376577233
GO:0007368	determination of left/right symmetry	2	23	0.00149993358291	0.0160901966166
GO:0006260	DNA replication	2	23	0.00149993358291	0.0160901966166
GO:0006289	nucleotide-excision repair	2	26	0.00191785107878	0.0188588689414
GO:0032986	protein-DNA complex disassembly	1	1	0.00252378178994	0.0198537500808
GO:1905505	positive regulation of motile cilium assembly	1	1	0.00252378178994	0.0198537500808
GO:0090096	positive regulation of metanephric cap mesenchymal cell proliferation	1	1	0.00252378178994	0.0198537500808
GO:0050679	positive regulation of epithelial cell proliferation	2	32	0.00289984972968	0.0213863917564
GO:1904526	regulation of microtubule binding	1	2	0.00504143849059	0.0220329534033
GO:0034502	protein localization to chromosome	1	2	0.00504143849059	0.0220329534033
GO:1902895	positive regulation of miRNA transcription	2	42	0.00495648999708	0.0220329534033
GO:0021591	ventricular system development	1	2	0.00504143849059	0.0220329534033
GO:0062177	radial spoke assembly	1	2	0.00504143849059	0.0220329534033
GO:0098696	regulation of neurotransmitter receptor localization to postsynaptic specialization membrane	1	2	0.00504143849059	0.0220329534033
GO:0016202	regulation of striated muscle tissue development	1	2	0.00504143849059	0.0220329534033
GO:0071549	cellular response to dexamethasone stimulus	1	2	0.00504143849059	0.0220329534033
GO:0003352	regulation of cilium movement	1	2	0.00504143849059	0.0220329534033
GO:0016072	rRNA metabolic process	1	2	0.00504143849059	0.0220329534033
GO:0060294	cilium movement involved in cell motility	1	2	0.00504143849059	0.0220329534033
GO:1904672	regulation of somatic stem cell population maintenance	1	3	0.00755298437384	0.0297084052038
GO:1902255	positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator	1	3	0.00755298437384	0.0297084052038
GO:2000630	positive regulation of miRNA metabolic process	1	3	0.00755298437384	0.0297084052038
GO:0010389	regulation of G2/M transition of mitotic cell cycle	1	4	0.0100584336803	0.0339112906936
GO:0060633	negative regulation of transcription initiation by RNA polymerase II	1	4	0.0100584336803	0.0339112906936
GO:1904158	axonemal central apparatus assembly	1	4	0.0100584336803	0.0339112906936
GO:0045656	negative regulation of monocyte differentiation	1	4	0.0100584336803	0.0339112906936
GO:0051782	negative regulation of cell division	1	4	0.0100584336803	0.0339112906936
GO:0120229	protein localization to motile cilium	1	5	0.0125578006178	0.037995396741
GO:0051702	biological process involved in interaction with symbiont	1	5	0.0125578006178	0.037995396741
GO:1903566	positive regulation of protein localization to cilium	1	5	0.0125578006178	0.037995396741
GO:2000001	regulation of DNA damage checkpoint	1	5	0.0125578006178	0.037995396741
GO:0000724	double-strand break repair via homologous recombination	2	71	0.0136788656811	0.0403526537594
GO:0071907	determination of digestive tract left/right asymmetry	1	6	0.0150510993636	0.0413030168583
GO:0010332	response to gamma radiation	1	6	0.0150510993636	0.0413030168583
GO:0032873	negative regulation of stress-activated MAPK cascade	1	6	0.0150510993636	0.0413030168583
GO:0030317	flagellated sperm motility	2	80	0.0171549822286	0.0459894355402
GO:0003356	regulation of cilium beat frequency	1	7	0.0175383440619	0.0459894355402
