# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
R-HSA-9753512	Signaling by RAS GTPase mutants	2	3	2.10599704509e-05	0.00288521595177
R-HSA-9753510	Signaling by RAS GAP mutants	2	3	2.10599704509e-05	0.00288521595177
R-HSA-1169092	Activation of RAS in B cells	2	5	6.99664584098e-05	0.00958540480214
R-HSA-6802953	RAS signaling downstream of NF1 loss-of-function variants	2	6	0.000104775076438	0.014354185472
R-HSA-9634635	Estrogen-stimulated signaling through PRKCZ	2	6	0.000104775076438	0.014354185472
R-HSA-112412	SOS-mediated signalling	2	6	0.000104775076438	0.014354185472
R-HSA-9034864	Activated NTRK3 signals through RAS	2	7	0.000146441090024	0.0200624293333
R-HSA-9026519	Activated NTRK2 signals through RAS	2	8	0.000194930014526	0.0267054119901
R-HSA-2179392	EGFR Transactivation by Gastrin	2	8	0.000194930014526	0.0267054119901
R-HSA-167044	Signalling to RAS	2	8	0.000194930014526	0.0267054119901
R-HSA-2428933	SHC-related events triggered by IGF1R	2	8	0.000194930014526	0.0267054119901
R-HSA-74751	Insulin receptor signalling cascade	2	8	0.000194930014526	0.0267054119901
R-HSA-9703648	Signaling by FLT3 ITD and TKD mutants	2	9	0.000250207489399	0.0342784260477
R-HSA-5655291	Signaling by FGFR4 in disease	2	10	0.000312239277846	0.0427767810648
R-HSA-8851805	MET activates RAS signaling	2	10	0.000312239277846	0.0427767810648
R-HSA-3371511	HSF1 activation	2	10	0.000312239277846	0.0427767810648
R-HSA-9028731	Activated NTRK2 signals through FRS2 and FRS3	2	10	0.000312239277846	0.0427767810648
R-HSA-9634285	Constitutive Signaling by Overexpressed ERBB2	2	10	0.000312239277846	0.0427767810648
