# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
R-HSA-3371497	HSP90 chaperone cycle for steroid hormone receptors (SHR) in the presence of ligand	16	49	6.95274939286e-12	5.37447528068e-09
R-HSA-389960	Formation of tubulin folding intermediates by CCT/TriC	10	21	8.39267669417e-10	3.2437695423e-07
R-HSA-5617833	Cilium Assembly	8	15	1.40144968666e-08	3.61106869262e-06
R-HSA-5626467	RHO GTPases activate IQGAPs	9	23	5.01639753054e-08	9.69418822777e-06
R-HSA-389957	Prefoldin mediated transfer of substrate  to CCT/TriC	9	24	7.77219941571e-08	1.20158202967e-05
R-HSA-9646399	Aggrephagy	10	32	1.07466908739e-07	1.38453200759e-05
R-HSA-190840	Microtubule-dependent trafficking of connexons from Golgi to the plasma membrane	7	14	2.11227861993e-07	2.33255910457e-05
R-HSA-9833482	PKR-mediated signaling	13	64	3.6130138601e-07	3.49107464232e-05
R-HSA-9619483	Activation of AMPK downstream of NMDARs	8	22	5.57203329829e-07	4.78575748842e-05
R-HSA-437239	Recycling pathway of L1	10	39	8.44439759171e-07	6.52751933839e-05
R-HSA-389977	Post-chaperonin tubulin folding pathway	7	18	1.72726178693e-06	0.000121379396482
R-HSA-380320	Recruitment of NuMA to mitotic centrosomes	13	84	8.94369591098e-06	0.000576123078266
R-HSA-3371511	HSF1 activation	5	10	1.30920294075e-05	0.000778472210156
R-HSA-8852276	The role of GTSE1 in G2/M progression after G2 checkpoint	10	54	1.95899840245e-05	0.00108164697507
R-HSA-6811436	COPI-independent Golgi-to-ER retrograde traffic	9	44	2.21905341305e-05	0.00114355219219
R-HSA-9668328	Sealing of the nuclear envelope (NE) by ESCRT-III	7	26	2.77842180128e-05	0.00134232503274
R-HSA-1445148	Translocation of SLC2A4 (GLUT4) to the plasma membrane	10	58	3.75538667615e-05	0.00170759641216
R-HSA-190861	Gap junction assembly	7	28	4.69797755056e-05	0.00201752035921
R-HSA-8862803	Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models	6	21	7.364719035e-05	0.00299627779687
R-HSA-4419969	Depolymerization of the Nuclear Lamina	5	15	0.000134267285929	0.00506387222696
R-HSA-5663220	RHO GTPases Activate Formins	14	123	0.000137569620655	0.00506387222696
R-HSA-8955332	Carboxyterminal post-translational modifications of tubulin	7	33	0.000145010417454	0.00509513875873
R-HSA-72203	Processing of Capped Intron-Containing Pre-mRNA	10	68	0.000151750152304	0.00510012468396
R-HSA-2500257	Resolution of Sister Chromatid Cohesion	13	115	0.000254080901849	0.0081835223804
R-HSA-68877	Mitotic Prometaphase	12	101	0.000274186554252	0.00847784825747
R-HSA-9609736	Assembly and cell surface presentation of NMDA receptors	7	37	0.00030853793622	0.00883332684068
R-HSA-9634285	Constitutive Signaling by Overexpressed ERBB2	4	10	0.000297862819681	0.00883332684068
R-HSA-5620924	Intraflagellar transport	8	49	0.000334264327368	0.00922808303771
R-HSA-9609690	HCMV Early Events	11	89	0.000347031270963	0.00925017836049
R-HSA-9648025	EML4 and NUDC in mitotic spindle formation	12	104	0.00036079133744	0.00929639012805
R-HSA-2995383	Initiation of Nuclear Envelope (NE) Reformation	5	19	0.000461282955223	0.0115023136899
R-HSA-2132295	MHC class II antigen presentation	12	111	0.0006563384216	0.0154356672182
R-HSA-983189	Kinesins	8	54	0.000658961213713	0.0154356672182
R-HSA-9013418	RHOBTB2 GTPase cycle	5	22	0.000955290171898	0.0217188030258
R-HSA-6807878	COPI-mediated anterograde transport	10	91	0.00160761439229	0.0355053121497
R-HSA-9665348	Signaling by ERBB2 ECD mutants	4	15	0.00167665860226	0.0360015860986
R-HSA-912446	Meiotic recombination	7	51	0.00224824548174	0.0467534197354
R-HSA-2179392	EGFR Transactivation by Gastrin	3	8	0.0022983569857	0.0467534197354
R-HSA-5610787	Hedgehog 'off' state	7	52	0.00251902308722	0.0499283293954
