# Term ID	Term name	num of genes	num of total genes	P-value	P-value corrected
R-HSA-9753510	Signaling by RAS GAP mutants	2	3	2.10599704509e-05	0.00144260797588
R-HSA-9753512	Signaling by RAS GTPase mutants	2	3	2.10599704509e-05	0.00144260797588
R-HSA-8849471	PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases	2	12	0.000456429464579	0.00214825980643
R-HSA-9028731	Activated NTRK2 signals through FRS2 and FRS3	2	10	0.000312239277846	0.00214825980643
R-HSA-5637810	Constitutive Signaling by EGFRvIII	2	14	0.000627229140565	0.00214825980643
R-HSA-110312	Translesion synthesis by REV1	2	12	0.000456429464579	0.00214825980643
R-HSA-9703648	Signaling by FLT3 ITD and TKD mutants	2	9	0.000250207489399	0.00214825980643
R-HSA-69166	Removal of the Flap Intermediate	2	14	0.000627229140565	0.00214825980643
R-HSA-6802953	RAS signaling downstream of NF1 loss-of-function variants	2	6	0.000104775076438	0.00214825980643
R-HSA-112412	SOS-mediated signalling	2	6	0.000104775076438	0.00214825980643
R-HSA-5654719	SHC-mediated cascade:FGFR4	2	13	0.000538520004524	0.00214825980643
R-HSA-1963640	GRB2 events in ERBB2 signaling	2	13	0.000538520004524	0.00214825980643
R-HSA-5654706	FRS-mediated FGFR3 signaling	2	13	0.000538520004524	0.00214825980643
R-HSA-5654704	SHC-mediated cascade:FGFR3	2	11	0.000380991266395	0.00214825980643
R-HSA-1169092	Activation of RAS in B cells	2	5	6.99664584098e-05	0.00214825980643
R-HSA-9034864	Activated NTRK3 signals through RAS	2	7	0.000146441090024	0.00214825980643
R-HSA-2428933	SHC-related events triggered by IGF1R	2	8	0.000194930014526	0.00214825980643
R-HSA-9634285	Constitutive Signaling by Overexpressed ERBB2	2	10	0.000312239277846	0.00214825980643
R-HSA-5358606	Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)	2	14	0.000627229140565	0.00214825980643
R-HSA-179812	GRB2 events in EGFR signaling	2	12	0.000456429464579	0.00214825980643
R-HSA-1250347	SHC1 events in ERBB4 signaling	2	11	0.000380991266395	0.00214825980643
R-HSA-2179392	EGFR Transactivation by Gastrin	2	8	0.000194930014526	0.00214825980643
R-HSA-9027284	Erythropoietin activates RAS	2	13	0.000538520004524	0.00214825980643
R-HSA-3371511	HSF1 activation	2	10	0.000312239277846	0.00214825980643
R-HSA-74751	Insulin receptor signalling cascade	2	8	0.000194930014526	0.00214825980643
R-HSA-5654688	SHC-mediated cascade:FGFR1	2	12	0.000456429464579	0.00214825980643
R-HSA-167044	Signalling to RAS	2	8	0.000194930014526	0.00214825980643
R-HSA-180336	SHC1 events in EGFR signaling	2	13	0.000538520004524	0.00214825980643
R-HSA-5654693	FRS-mediated FGFR1 signaling	2	14	0.000627229140565	0.00214825980643
R-HSA-5358565	Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)	2	14	0.000627229140565	0.00214825980643
R-HSA-171007	p38MAPK events	2	13	0.000538520004524	0.00214825980643
R-HSA-9634635	Estrogen-stimulated signaling through PRKCZ	2	6	0.000104775076438	0.00214825980643
R-HSA-8851805	MET activates RAS signaling	2	10	0.000312239277846	0.00214825980643
R-HSA-9673767	Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants	2	11	0.000380991266395	0.00214825980643
R-HSA-5655862	Translesion synthesis by POLK	2	13	0.000538520004524	0.00214825980643
R-HSA-5656121	Translesion synthesis by POLI	2	13	0.000538520004524	0.00214825980643
R-HSA-9673770	Signaling by PDGFRA extracellular domain mutants	2	11	0.000380991266395	0.00214825980643
R-HSA-1236382	Constitutive Signaling by Ligand-Responsive EGFR Cancer Variants	2	14	0.000627229140565	0.00214825980643
R-HSA-5655291	Signaling by FGFR4 in disease	2	10	0.000312239277846	0.00214825980643
R-HSA-9026519	Activated NTRK2 signals through RAS	2	8	0.000194930014526	0.00214825980643
R-HSA-5654712	FRS-mediated FGFR4 signaling	2	15	0.000722523248857	0.00219968189097
R-HSA-110320	Translesion Synthesis by POLH	2	15	0.000722523248857	0.00219968189097
R-HSA-5655332	Signaling by FGFR3 in disease	2	15	0.000722523248857	0.00219968189097
R-HSA-5654699	SHC-mediated cascade:FGFR2	2	15	0.000722523248857	0.00219968189097
R-HSA-9665348	Signaling by ERBB2 ECD mutants	2	15	0.000722523248857	0.00219968189097
R-HSA-210993	Tie2 Signaling	2	16	0.000824368827111	0.00245518541987
R-HSA-5654700	FRS-mediated FGFR2 signaling	2	17	0.000932732494085	0.00260784391203
R-HSA-174437	Removal of the Flap Intermediate from the C-strand	2	17	0.000932732494085	0.00260784391203
R-HSA-9703465	Signaling by FLT3 fusion proteins	2	17	0.000932732494085	0.00260784391203
R-HSA-9648002	RAS processing	2	18	0.00104758098929	0.00270789802893
R-HSA-5218921	VEGFR2 mediated cell proliferation	2	18	0.00104758098929	0.00270789802893
R-HSA-442982	Ras activation upon Ca2+ influx through NMDA receptor	2	18	0.00104758098929	0.00270789802893
R-HSA-9607240	FLT3 Signaling	2	18	0.00104758098929	0.00270789802893
R-HSA-5655253	Signaling by FGFR2 in disease	2	19	0.00116888117253	0.00280941615152
