Gene ID	UniProt ID	Gene Symbol	Seed Status	Seed Source
351	P05067	APP	non-seed	None
7917	P46379	BAG6	non-seed	None
821	P27824	CANX	non-seed	None
899	P41002	CCNF	non-seed	None
10576	P78371	CCT2	non-seed	None
983	P06493	CDK1	non-seed	None
54927	Q9NX63	CHCHD3	non-seed	None
23603	Q9ULV4	CORO1C	non-seed	None
1460	P67870	CSNK2B	non-seed	None
375791	A8MQ03	CYSRT1	non-seed	None
1778	Q14204	DYNC1H1	non-seed	None
1936	P29692	EEF1D	non-seed	None
1937	P26641	EEF1G	non-seed	None
1938	P13639	EEF2	non-seed	None
9775	P38919	EIF4A3	seed	cleft_palate
1981	Q04637	EIF4G1	non-seed	None
2010	P50402	EMD	non-seed	None
2058	P07814	EPRS1	non-seed	None
2091	P22087	FBL	non-seed	None
10211	O75955	FLOT1	non-seed	None
2801	Q08379	GOLGA2	non-seed	None
3017; 8343; 8339; 8347; 8346; 8344	P58876; P62807	H2BC10 ; H2BC7 ; H2BC8 ; H2BC4 ; H2BC5 ; H2BC6	non-seed	None
8358; 8968; 8350; 8351; 8352; 8353; 8354; 8355; 8356; 8357	P68431	H3C1 ; H3C12 ; H3C4 ; H3C6 ; H3C7 ; H3C2 ; H3C10 ; H3C11 ; H3C3 ; H3C8	non-seed	None
3265	P01112	HRAS	non-seed	None
3304; 3303	P0DMV9; P0DMV8	HSPA1A; HSPA1B	non-seed	None
3315	P04792	HSPB1	non-seed	None
3329	P10809	HSPD1	non-seed	None
3064	P42858	HTT	non-seed	None
3608	Q12905	ILF2	non-seed	None
10989	Q16891	IMMT	non-seed	None
3843	O00410	IPO5	non-seed	None
3837	Q14974	KPNB1	non-seed	None
3845	P01116	KRAS	non-seed	None
3881	Q15323	KRT31	non-seed	None
386681	P60410	KRTAP10-8	non-seed	None
4000	P02545	LMNA	non-seed	None
4001	P20700	LMNB1	non-seed	None
84708	Q8TBB1	LNX1	non-seed	None
55379	Q96AG4	LRRC59	non-seed	None
4188	Q99750	MDFI	non-seed	None
4223	P50222	MEOX2	non-seed	None
4609	P01106	MYC	seed	cleft_palate
4722	O75489	NDUFS3	non-seed	None
2908	P04150	NR3C1	non-seed	None
26986	P11940	PABPC1	non-seed	None
10606	P22234	PAICS	non-seed	None
142	P09874	PARP1	non-seed	None
10015	Q8WUM4	PDCD6IP	non-seed	None
5160	P08559	PDHA1	non-seed	None
2923	P30101	PDIA3	non-seed	None
5216	P07737	PFN1	non-seed	None
9463	Q9NRD5	PICK1	non-seed	None
5339	Q15149	PLEC	non-seed	None
5518	P30153	PPP2R1A	non-seed	None
9588	P30041	PRDX6	non-seed	None
7879	P51149	RAB7A	non-seed	None
5879	P63000	RAC1	non-seed	None
6117	P27694	RPA1	non-seed	None
6118	P15927	RPA2	non-seed	None
6119	P35244	RPA3	non-seed	None
6184	P04843	RPN1	non-seed	None
6386	O00560	SDCBP	non-seed	None
871	P50454	SERPINH1	non-seed	None
27044	Q7KZF4	SND1	non-seed	None
6733	P78362	SRPK2	non-seed	None
6780	O95793	STAU1	non-seed	None
10618	O43493	TGOLN2	non-seed	None
7150	P11387	TOP1	non-seed	None
7157	P04637	TP53	non-seed	None
7186	Q12933	TRAF2	non-seed	None
10131	Q12931	TRAP1	non-seed	None
57159	Q9BYV2	TRIM54	non-seed	None
2547	P12956	XRCC6	non-seed	None
7529	P31946	YWHAB	non-seed	None
7531	P62258	YWHAE	non-seed	None
7532	P61981	YWHAG	non-seed	None
7533	Q04917	YWHAH	non-seed	None
10971	P27348	YWHAQ	non-seed	None
7534	P63104	YWHAZ	non-seed	None
