BIANA ID	UniProt ID	Gene Symbol	Description	Gene ID	Equivalent Entries
15168	P17861	XBP1	RecName: Full=X-box-binding protein 1 {ECO:0000303|PubMed:2321018, ECO:0000312|HGNC:HGNC:12801}; Short=XBP-1 {ECO:0000303|PubMed:2321018}; AltName: Full=Tax-responsive element-binding protein 5 {ECO:0000303|PubMed:2196176}; Short=TREB-5 {ECO:0000303|PubMed:2196176}; Contains: RecName: Full=X-box-binding protein 1, cytoplasmic form {ECO:0000303|PubMed:25239945}; Contains: RecName: Full=X-box-binding protein 1, luminal form {ECO:0000303|PubMed:25239945};	7494	-
15601	P04637	TP53	RecName: Full=Cellular tumor antigen p53; AltName: Full=Antigen NY-CO-13; AltName: Full=Phosphoprotein p53; AltName: Full=Tumor suppressor p53;	7157	-
14177	Q86Z02	HIPK1	RecName: Full=Homeodomain-interacting protein kinase 1; EC=2.7.11.1; AltName: Full=Nuclear body-associated kinase 2;	204851	-
44699	P18283	GPX2	RecName: Full=Glutathione peroxidase 2; Short=GPx-2; Short=GSHPx-2; EC=1.11.1.9 {ECO:0000269|PubMed:8428933}; AltName: Full=Gastrointestinal glutathione peroxidase; AltName: Full=Glutathione peroxidase-gastrointestinal {ECO:0000303|PubMed:8428933}; Short=GPx-GI {ECO:0000303|PubMed:8428933}; Short=GSHPx-GI {ECO:0000303|PubMed:8428933}; AltName: Full=Glutathione peroxidase-related protein 2; Short=GPRP-2; AltName: Full=Phospholipid hydroperoxide glutathione peroxidase GPX2 {ECO:0000303|PubMed:36608588}; EC=1.11.1.12 {ECO:0000269|PubMed:36608588};	2877	-
9071	P07203	GPX1	RecName: Full=Glutathione peroxidase 1 {ECO:0000305}; Short=GPx-1 {ECO:0000303|PubMed:11115402}; Short=GSHPx-1; EC=1.11.1.9 {ECO:0000269|PubMed:11115402, ECO:0000269|PubMed:36608588}; AltName: Full=Cellular glutathione peroxidase; AltName: Full=Phospholipid-hydroperoxide glutathione peroxidase GPX1 {ECO:0000303|PubMed:36608588}; EC=1.11.1.12 {ECO:0000269|PubMed:11115402, ECO:0000269|PubMed:36608588};	2876	-
8156	P27695	APEX1	RecName: Full=DNA repair nuclease/redox regulator APEX1; EC=3.1.11.2 {ECO:0000269|PubMed:11286553, ECO:0000269|PubMed:15380100, ECO:0000269|PubMed:19123919, ECO:0000269|PubMed:21762700}; EC=3.1.21.- {ECO:0000269|PubMed:9804799}; AltName: Full=APEX nuclease; Short=APEN; AltName: Full=Apurinic-apyrimidinic endonuclease 1; Short=AP endonuclease 1; Short=APE-1; AltName: Full=DNA-(apurinic or apyrimidinic site) endonuclease; AltName: Full=Redox factor-1; Short=REF-1; Contains: RecName: Full=DNA repair nuclease/redox regulator APEX1, mitochondrial;	328	-
8157	Q13087	PDIA2	RecName: Full=Protein disulfide-isomerase A2; EC=5.3.4.1; AltName: Full=Pancreas-specific protein disulfide isomerase; Short=PDIp; Flags: Precursor;	64714	-
56059	P18848	ATF4	RecName: Full=Cyclic AMP-dependent transcription factor ATF-4 {ECO:0000305}; Short=cAMP-dependent transcription factor ATF-4 {ECO:0000305}; AltName: Full=Activating transcription factor 4 {ECO:0000303|PubMed:2516827}; AltName: Full=Cyclic AMP-responsive element-binding protein 2 {ECO:0000303|PubMed:1534408}; Short=CREB-2 {ECO:0000303|PubMed:1534408}; Short=cAMP-responsive element-binding protein 2 {ECO:0000303|PubMed:1534408}; AltName: Full=Tax-responsive enhancer element-binding protein 67 {ECO:0000303|PubMed:1847461}; Short=TaxREB67 {ECO:0000303|PubMed:1847461};	468	-
44691	Q96SL4	GPX7	RecName: Full=Glutathione peroxidase 7; Short=GPx-7; Short=GSHPx-7; EC=1.11.1.9; AltName: Full=CL683; Flags: Precursor;	2882	-
57525	P49419	ALDH7A1	RecName: Full=Alpha-aminoadipic semialdehyde dehydrogenase {ECO:0000305|PubMed:20207735}; Short=Alpha-AASA dehydrogenase {ECO:0000305|PubMed:16491085}; EC=1.2.1.31 {ECO:0000269|PubMed:16491085, ECO:0000269|PubMed:20207735}; AltName: Full=Aldehyde dehydrogenase family 7 member A1; EC=1.2.1.3 {ECO:0000269|PubMed:20207735, ECO:0000269|PubMed:21338592}; AltName: Full=Antiquitin-1; AltName: Full=Betaine aldehyde dehydrogenase; EC=1.2.1.8 {ECO:0000269|PubMed:20207735}; AltName: Full=Delta1-piperideine-6-carboxylate dehydrogenase; Short=P6c dehydrogenase; Flags: Precursor;	501	-
14571	Q9Y2C9	TLR6	RecName: Full=Toll-like receptor 6; AltName: CD_antigen=CD286; Flags: Precursor;	10333	-
21865	O14656	TOR1A	RecName: Full=Torsin-1A; AltName: Full=Dystonia 1 protein; AltName: Full=Torsin ATPase-1A; EC=3.6.4.-; AltName: Full=Torsin family 1 member A; Flags: Precursor;	1861	-
16271	P31749	AKT1	RecName: Full=RAC-alpha serine/threonine-protein kinase; EC=2.7.11.1 {ECO:0000269|PubMed:12172553, ECO:0000269|PubMed:15861136, ECO:0000269|PubMed:32322062, ECO:0000269|PubMed:33594058}; AltName: Full=Protein kinase B; Short=PKB; AltName: Full=Protein kinase B alpha; Short=PKB alpha; AltName: Full=Proto-oncogene c-Akt; AltName: Full=RAC-PK-alpha;	207	-
57949	Q15848	ADIPOQ	RecName: Full=Adiponectin; AltName: Full=30 kDa adipocyte complement-related protein; AltName: Full=Adipocyte complement-related 30 kDa protein; Short=ACRP30; AltName: Full=Adipocyte, C1q and collagen domain-containing protein; AltName: Full=Adipose most abundant gene transcript 1 protein {ECO:0000303|PubMed:8619847}; Short=apM-1 {ECO:0000303|PubMed:10403784}; AltName: Full=Gelatin-binding protein; Flags: Precursor;	9370	-
53648	O14618	CCS	RecName: Full=Copper chaperone for superoxide dismutase {ECO:0000305}; AltName: Full=Superoxide dismutase copper chaperone;	9973	-
9160	P32119	PRDX2	RecName: Full=Peroxiredoxin-2; EC=1.11.1.24 {ECO:0000269|PubMed:8554614, ECO:0000269|PubMed:9497357}; AltName: Full=Natural killer cell-enhancing factor B; Short=NKEF-B; AltName: Full=PRP; AltName: Full=Thiol-specific antioxidant protein; Short=TSA; AltName: Full=Thioredoxin peroxidase 1; AltName: Full=Thioredoxin-dependent peroxide reductase 1; AltName: Full=Thioredoxin-dependent peroxiredoxin 2 {ECO:0000305};	7001	-
7207	Q9UPY5	SLC7A11	RecName: Full=Cystine/glutamate transporter {ECO:0000305}; AltName: Full=Amino acid transport system xc-; AltName: Full=Calcium channel blocker resistance protein CCBR1; AltName: Full=Solute carrier family 7 member 11; AltName: Full=xCT {ECO:0000303|PubMed:11213471};	23657	-
10187	P50281	MMP14	RecName: Full=Matrix metalloproteinase-14; Short=MMP-14; EC=3.4.24.80 {ECO:0000269|PubMed:35177851, ECO:0000269|PubMed:8015608}; AltName: Full=MMP-X1; AltName: Full=Membrane-type matrix metalloproteinase 1; Short=MT-MMP 1; Short=MTMMP1; AltName: Full=Membrane-type-1 matrix metalloproteinase {ECO:0000303|PubMed:35177851}; Short=MT1-MMP {ECO:0000303|PubMed:35177851}; Short=MT1MMP {ECO:0000303|PubMed:35177851}; Flags: Precursor;	4323	-
8863	Q13162	PRDX4	RecName: Full=Peroxiredoxin-4; EC=1.11.1.24 {ECO:0000269|PubMed:21916849, ECO:0000269|PubMed:9388242}; AltName: Full=Antioxidant enzyme AOE372; Short=AOE37-2; AltName: Full=Peroxiredoxin IV; Short=Prx-IV; AltName: Full=Thioredoxin peroxidase AO372; AltName: Full=Thioredoxin-dependent peroxide reductase A0372; AltName: Full=Thioredoxin-dependent peroxiredoxin 4 {ECO:0000305}; Flags: Precursor;	10549	-
9547	Q9NNW7	TXNRD2	RecName: Full=Thioredoxin reductase 2, mitochondrial {ECO:0000305}; EC=1.8.1.9 {ECO:0000250|UniProtKB:Q9N2I8, ECO:0000250|UniProtKB:Q9Z0J5}; AltName: Full=Selenoprotein Z; Short=SelZ; AltName: Full=TR-beta; AltName: Full=Thioredoxin reductase TR3; Flags: Precursor;	10587	-
15366	P19447	ERCC3	RecName: Full=General transcription and DNA repair factor IIH helicase/translocase subunit XPB {ECO:0000303|PubMed:27193682}; Short=TFIIH subunit XPB; EC=5.6.2.4 {ECO:0000269|PubMed:8663148, ECO:0000305|PubMed:8465201}; AltName: Full=Basic transcription factor 2 89 kDa subunit; Short=BTF2 p89; AltName: Full=DNA 3'-5' helicase/translocase XPB {ECO:0000305}; AltName: Full=DNA excision repair protein ERCC-3; AltName: Full=DNA repair protein complementing XP-B cells {ECO:0000303|PubMed:2167179}; AltName: Full=TFIIH basal transcription factor complex 89 kDa subunit {ECO:0000303|PubMed:8465201}; Short=TFIIH 89 kDa subunit; Short=TFIIH p89; AltName: Full=Xeroderma pigmentosum group B-complementing protein;	2071	-
28059	Q9H446	RWDD1	RecName: Full=RWD domain-containing protein 1; AltName: Full=DRG family-regulatory protein 2;	51389	-
45388	Q9UJ14	GGT7	RecName: Full=Glutathione hydrolase 7 {ECO:0000303|PubMed:18357469}; EC=3.4.19.13 {ECO:0000250|UniProtKB:P19440}; AltName: Full=Gamma-glutamyltransferase 7; Short=GGT 7; EC=2.3.2.2 {ECO:0000250|UniProtKB:P19440}; AltName: Full=Gamma-glutamyltransferase-like 3; AltName: Full=Gamma-glutamyltransferase-like 5; AltName: Full=Gamma-glutamyltranspeptidase 7; Contains: RecName: Full=Glutathione hydrolase 7 heavy chain; Contains: RecName: Full=Glutathione hydrolase 7 light chain; Flags: Precursor;	2686	-
10580	Q86Y07	VRK2	RecName: Full=Serine/threonine-protein kinase VRK2; EC=2.7.11.1 {ECO:0000269|PubMed:16495336, ECO:0000269|PubMed:16704422}; AltName: Full=Vaccinia-related kinase 2;	7444	-
24727	O95793	STAU1	RecName: Full=Double-stranded RNA-binding protein Staufen homolog 1;	6780	-
46996	Q9UKB1	FBXW11	RecName: Full=F-box/WD repeat-containing protein 11; AltName: Full=F-box and WD repeats protein beta-TrCP2 {ECO:0000303|PubMed:10694485}; AltName: Full=F-box/WD repeat-containing protein 1B; AltName: Full=Homologous to Slimb protein {ECO:0000303|PubMed:10321728}; Short=HOS {ECO:0000303|PubMed:10321728};	23291	-
31207	Q8WU10	PYROXD1	RecName: Full=Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 1; EC=1.8.1.-;	79912	-
9682	P04792	HSPB1	RecName: Full=Heat shock protein beta-1; Short=HspB1; AltName: Full=28 kDa heat shock protein; AltName: Full=Estrogen-regulated 24 kDa protein; AltName: Full=Heat shock 27 kDa protein; Short=HSP 27; AltName: Full=Heat shock protein family B member 1; AltName: Full=Stress-responsive protein 27; Short=SRP27;	3315	-
44696	P22352	GPX3	RecName: Full=Glutathione peroxidase 3 {ECO:0000305}; Short=GPx-3; Short=GSHPx-3; EC=1.11.1.9 {ECO:0000269|PubMed:1897960}; AltName: Full=Extracellular glutathione peroxidase; AltName: Full=Plasma glutathione peroxidase; Short=GPx-P; Short=GSHPx-P; Flags: Precursor;	2878	-
12277	Q06609	RAD51	RecName: Full=DNA repair protein RAD51 homolog 1 {ECO:0000305}; Short=HsRAD51; Short=hRAD51; AltName: Full=RAD51 homolog A;	5888	-
10740	Q9UI09	NDUFA12	RecName: Full=NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12; AltName: Full=13 kDa differentiation-associated protein; AltName: Full=Complex I-B17.2; Short=CI-B17.2; Short=CIB17.2; AltName: Full=NADH-ubiquinone oxidoreductase subunit B17.2;	55967	-
