BIANA ID	UniProt ID	Gene Symbol	Description	Gene ID	Equivalent Entries
49326	Q9UPQ8	DOLK	RecName: Full=Dolichol kinase {ECO:0000303|PubMed:16923818}; EC=2.7.1.108 {ECO:0000269|PubMed:12213788, ECO:0000269|PubMed:16923818, ECO:0000269|PubMed:17273964}; AltName: Full=Transmembrane protein 15;	22845	-
47022	P35555	FBN1	RecName: Full=Fibrillin-1 {ECO:0000303|PubMed:15221638}; Contains: RecName: Full=Asprosin {ECO:0000303|PubMed:27087445}; Flags: Precursor;	2200	-
16213	Q96SW2	CRBN	RecName: Full=Protein cereblon;	51185	-
15896	P42336	PIK3CA	RecName: Full=Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform; Short=PI3-kinase subunit alpha; Short=PI3K-alpha; Short=PI3Kalpha {ECO:0000303|PubMed:28676499}; Short=PtdIns-3-kinase subunit alpha; EC=2.7.1.137 {ECO:0000269|PubMed:23936502}; EC=2.7.1.153 {ECO:0000269|PubMed:15135396, ECO:0000269|PubMed:28676499}; AltName: Full=Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit alpha; Short=PtdIns-3-kinase subunit p110-alpha; Short=p110alpha {ECO:0000303|PubMed:15135396}; AltName: Full=Phosphoinositide 3-kinase alpha {ECO:0000303|PubMed:28676499}; AltName: Full=Phosphoinositide-3-kinase catalytic alpha polypeptide; AltName: Full=Serine/threonine protein kinase PIK3CA; EC=2.7.11.1 {ECO:0000269|PubMed:23936502, ECO:0000269|PubMed:28676499};	5290	-
45237	Q04446	GBE1	RecName: Full=1,4-alpha-glucan-branching enzyme; EC=2.4.1.18 {ECO:0000269|PubMed:26199317, ECO:0000269|PubMed:8613547, ECO:0000305|PubMed:8463281}; AltName: Full=Brancher enzyme; AltName: Full=Glycogen-branching enzyme;	2632	-
14879	Q02224	CENPE	RecName: Full=Centromere-associated protein E; AltName: Full=Centromere protein E; Short=CENP-E; AltName: Full=Kinesin-7 {ECO:0000303|PubMed:25908662}; AltName: Full=Kinesin-related protein CENPE; Flags: Precursor;	1062	-
31270	O96011	PEX11B	RecName: Full=Peroxisomal membrane protein 11B; AltName: Full=Peroxin-11B; AltName: Full=Peroxisomal biogenesis factor 11B; AltName: Full=Protein PEX11 homolog beta; Short=PEX11-beta;	8799	-
33545	P56589	PEX3	RecName: Full=Peroxisomal biogenesis factor 3; AltName: Full=Peroxin-3; AltName: Full=Peroxisomal assembly protein PEX3;	8504	-
39470	Q9NQ48	LZTFL1	RecName: Full=Leucine zipper transcription factor-like protein 1;	54585	-
35666	O15259	NPHP1	RecName: Full=Nephrocystin-1; AltName: Full=Juvenile nephronophthisis 1 protein;	4867	-
16271	P31749	AKT1	RecName: Full=RAC-alpha serine/threonine-protein kinase; EC=2.7.11.1 {ECO:0000269|PubMed:12172553, ECO:0000269|PubMed:15861136, ECO:0000269|PubMed:32322062, ECO:0000269|PubMed:33594058}; AltName: Full=Protein kinase B; Short=PKB; AltName: Full=Protein kinase B alpha; Short=PKB alpha; AltName: Full=Proto-oncogene c-Akt; AltName: Full=RAC-PK-alpha;	207	-
