BIANA ID	UniProt ID	Gene Symbol	Description	Gene ID	Equivalent Entries
15601	P04637	TP53	RecName: Full=Cellular tumor antigen p53; AltName: Full=Antigen NY-CO-13; AltName: Full=Phosphoprotein p53; AltName: Full=Tumor suppressor p53;	7157	-
16079	Q04917	YWHAH	RecName: Full=14-3-3 protein eta; AltName: Full=Protein AS1;	7533	-
9072	Q86UY6	NAA40	RecName: Full=N-alpha-acetyltransferase 40 {ECO:0000303|PubMed:19660095, ECO:0000312|HGNC:HGNC:25845}; EC=2.3.1.257 {ECO:0000269|PubMed:21935442, ECO:0000269|PubMed:25619998}; AltName: Full=N-acetyltransferase 11; AltName: Full=N-alpha-acetyltransferase D {ECO:0000303|PubMed:25619998}; Short=NatD {ECO:0000303|PubMed:25619998}; Short=hNatD {ECO:0000303|PubMed:25619998}; AltName: Full=Protein acetyltransferase 1 {ECO:0000303|PubMed:19695338};	79829	-
48112	P50402	EMD	RecName: Full=Emerin;	2010	-
6967	Q02878	RPL6	RecName: Full=Large ribosomal subunit protein eL6 {ECO:0000303|PubMed:24524803}; AltName: Full=60S ribosomal protein L6; AltName: Full=Neoplasm-related protein C140; AltName: Full=Tax-responsive enhancer element-binding protein 107; Short=TaxREB107;	6128	-
11787	P62491	RAB11A	RecName: Full=Ras-related protein Rab-11A {ECO:0000303|PubMed:26506309}; Short=Rab-11 {ECO:0000303|PubMed:26506309}; EC=3.6.5.2 {ECO:0000269|PubMed:15837192, ECO:0000269|PubMed:16905101, ECO:0000269|PubMed:17007872, ECO:0000269|PubMed:17030804}; AltName: Full=YL8; Flags: Precursor;	8766	-
16271	P31749	AKT1	RecName: Full=RAC-alpha serine/threonine-protein kinase; EC=2.7.11.1 {ECO:0000269|PubMed:12172553, ECO:0000269|PubMed:15861136, ECO:0000269|PubMed:32322062, ECO:0000269|PubMed:33594058}; AltName: Full=Protein kinase B; Short=PKB; AltName: Full=Protein kinase B alpha; Short=PKB alpha; AltName: Full=Proto-oncogene c-Akt; AltName: Full=RAC-PK-alpha;	207	-
13362	P21333	FLNA	RecName: Full=Filamin-A; Short=FLN-A; AltName: Full=Actin-binding protein 280; Short=ABP-280; AltName: Full=Alpha-filamin; AltName: Full=Endothelial actin-binding protein; AltName: Full=Filamin-1; AltName: Full=Non-muscle filamin;	2316	-
11549	Q7KZF4	SND1	RecName: Full=Staphylococcal nuclease domain-containing protein 1; EC=3.1.31.1 {ECO:0000269|PubMed:18453631, ECO:0000269|PubMed:28546213}; AltName: Full=100 kDa coactivator; AltName: Full=EBNA2 coactivator p100; AltName: Full=Tudor domain-containing protein 11; AltName: Full=p100 co-activator;	27044	-
12370	P04843	RPN1	RecName: Full=Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1 {ECO:0000305}; AltName: Full=Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 67 kDa subunit; AltName: Full=Ribophorin I; Short=RPN-I; AltName: Full=Ribophorin-1; Flags: Precursor;	6184	-
15369	P01116	KRAS	RecName: Full=GTPase KRas; EC=3.6.5.2 {ECO:0000269|PubMed:20949621}; AltName: Full=K-Ras 2; AltName: Full=Ki-Ras; AltName: Full=c-K-ras; AltName: Full=c-Ki-ras; Contains: RecName: Full=GTPase KRas, N-terminally processed; Flags: Precursor;	3845	-
7618	O75955	FLOT1	RecName: Full=Flotillin-1;	10211	-
13088	P27348	YWHAQ	RecName: Full=14-3-3 protein theta; AltName: Full=14-3-3 protein T-cell; AltName: Full=14-3-3 protein tau; AltName: Full=Protein HS1;	10971	-
13087	P31946	YWHAB	RecName: Full=14-3-3 protein beta/alpha; AltName: Full=Protein 1054; AltName: Full=Protein kinase C inhibitor protein 1; Short=KCIP-1; Contains: RecName: Full=14-3-3 protein beta/alpha, N-terminally processed;	7529	-
51179	A8MQ03	CYSRT1	RecName: Full=Cysteine-rich tail protein 1;	375791	-
9682	P04792	HSPB1	RecName: Full=Heat shock protein beta-1; Short=HspB1; AltName: Full=28 kDa heat shock protein; AltName: Full=Estrogen-regulated 24 kDa protein; AltName: Full=Heat shock 27 kDa protein; Short=HSP 27; AltName: Full=Heat shock protein family B member 1; AltName: Full=Stress-responsive protein 27; Short=SRP27;	3315	-
15933	P26599	PTBP1	RecName: Full=Polypyrimidine tract-binding protein 1; Short=PTB; AltName: Full=57 kDa RNA-binding protein PPTB-1; AltName: Full=Heterogeneous nuclear ribonucleoprotein I; Short=hnRNP I;	5725	-
6998	P62906	RPL10A	RecName: Full=Large ribosomal subunit protein uL1 {ECO:0000303|PubMed:24524803}; AltName: Full=60S ribosomal protein L10a; AltName: Full=CSA-19; AltName: Full=Neural precursor cell expressed developmentally down-regulated protein 6; Short=NEDD-6;	4736	-
15936	P02545	LMNA	RecName: Full=Prelamin-A/C; Contains: RecName: Full=Lamin-A/C; AltName: Full=70 kDa lamin; AltName: Full=Renal carcinoma antigen NY-REN-32; Flags: Precursor;	4000	-
30211	P15927	RPA2	RecName: Full=Replication protein A 32 kDa subunit; Short=RP-A p32; AltName: Full=Replication factor A protein 2; Short=RF-A protein 2; AltName: Full=Replication protein A 34 kDa subunit; Short=RP-A p34;	6118	-
46520	Q14315	FLNC	RecName: Full=Filamin-C; Short=FLN-C; Short=FLNc; AltName: Full=ABP-280-like protein; AltName: Full=ABP-L; AltName: Full=Actin-binding-like protein; AltName: Full=Filamin-2; AltName: Full=Gamma-filamin;	2318	-
