#Position	OddsRatio	P-value
8	381.875	1.48847843451e-18
9	234.5	1.49112772897e-16
10	160.875	1.08390269613e-14
11	116.75	6.0713757141e-13
12	87.375	2.71503723943e-11
13	66.4285714286	9.90213440928e-10
14	50.75	2.98059428066e-08
15	38.5833333333	7.43605626754e-07
16	25.6666666667	2.31910626053e-05
17	16.7636363636	0.000494587659155
18	16.7636363636	0.000494587659155
19	10.4545454545	0.00707985526549
20	5.88461538462	0.0653341456293
21	2.51648351648	0.359166225596
22	0.0	1.0
23	0.0	1.0
24	0.0	1.0
25	0.0	1.0
26	0.0	1.0
27	0.0	1.0
28	0.0	1.0
29	0.0	1.0
30	0.0	1.0
31	0.0	1.0
32	0.0	1.0
33	0.0	1.0
34	0.0	1.0
35	0.0	1.0
36	0.0	1.0
37	0.0	1.0
38	0.0	1.0
39	0.0	1.0
40	0.0	1.0
41	0.0	1.0
42	0.0	1.0
43	0.0	1.0
44	0.0	1.0
45	0.0	1.0
46	0.0	1.0
47	0.0	1.0
48	0.0	1.0
49	0.0	1.0
50	0.0	1.0
51	0.0	1.0
52	0.0	1.0
53	0.0	1.0
54	0.0	1.0
55	0.0	1.0
56	0.0	1.0
57	0.0	1.0
58	0.0	1.0
59	0.0	1.0
60	0.0	1.0
61	0.0	1.0
62	0.0	1.0
63	0.0	1.0
64	0.0	1.0
65	0.0	1.0
66	0.0	1.0
67	0.0	1.0
68	0.0	1.0
69	0.0	1.0
70	0.0	1.0
71	0.0	1.0
72	0.0	1.0
73	0.0	1.0
74	0.0	1.0
75	0.0	1.0
76	0.0	1.0
77	0.0	1.0
78	0.0	1.0
79	0.0	1.0
80	0.0	1.0
81	0.0	1.0
82	0.0	1.0
83	0.0	1.0
84	0.0	1.0
85	0.0	1.0
86	0.0	1.0
87	0.0	1.0
88	0.0	1.0
89	0.0	1.0
90	0.0	1.0
91	0.0	1.0
92	0.0	1.0
93	0.0	1.0
94	0.0	1.0
95	0.0	1.0
96	0.0	1.0
97	0.0	1.0
98	0.0	1.0
99	0.0	1.0
100	0.0	1.0
101	0.0	1.0
102	0.0	1.0
103	0.0	1.0
104	0.0	1.0
105	0.0	1.0
106	0.0	1.0
107	0.0	1.0
108	0.0	1.0
109	0.0	1.0
110	0.0	1.0
111	0.0	1.0
112	0.0	1.0
113	0.0	1.0
114	0.0	1.0
115	2.51648351648	0.359166225596
116	2.51648351648	0.359166225596
