BIANA ID	UniProt ID	Gene Symbol	Description	Gene ID	Equivalent Entries
14055	P20138	CD33	RecName: Full=Myeloid cell surface antigen CD33; AltName: Full=Sialic acid-binding Ig-like lectin 3; Short=Siglec-3; AltName: Full=gp67; AltName: CD_antigen=CD33; Flags: Precursor;	945	-
34107	Q6ZW49	PAXIP1	RecName: Full=PAX-interacting protein 1; AltName: Full=PAX transactivation activation domain-interacting protein;	22976	-
52278	P10909	CLU	RecName: Full=Clusterin; AltName: Full=Aging-associated gene 4 protein {ECO:0000303|Ref.20}; AltName: Full=Apolipoprotein J {ECO:0000303|PubMed:2387851}; Short=Apo-J; AltName: Full=Complement cytolysis inhibitor {ECO:0000303|PubMed:2780565}; Short=CLI {ECO:0000303|PubMed:2780565}; AltName: Full=Complement-associated protein SP-40,40 {ECO:0000303|PubMed:1903064, ECO:0000303|PubMed:2721499}; AltName: Full=Ku70-binding protein 1; AltName: Full=NA1/NA2 {ECO:0000303|PubMed:1903064}; AltName: Full=Sulfated glycoprotein 2 {ECO:0000303|PubMed:1924317}; Short=SGP-2 {ECO:0000303|PubMed:1924317}; AltName: Full=Testosterone-repressed prostate message 2 {ECO:0000250|UniProtKB:P05371}; Short=TRPM-2 {ECO:0000303|PubMed:8181474}; Contains: RecName: Full=Clusterin beta chain; AltName: Full=ApoJalpha {ECO:0000303|PubMed:1974459, ECO:0000303|PubMed:2387851}; AltName: Full=Complement cytolysis inhibitor a chain {ECO:0000303|PubMed:2780565}; AltName: Full=SP-40,40 beta-chain {ECO:0000303|PubMed:2721499}; Contains: RecName: Full=Clusterin alpha chain; AltName: Full=ApoJbeta {ECO:0000303|PubMed:1974459, ECO:0000303|PubMed:2387851}; AltName: Full=Complement cytolysis inhibitor b chain {ECO:0000303|PubMed:2780565}; AltName: Full=SP-40,40 alpha-chain {ECO:0000303|PubMed:2721499}; Flags: Precursor;	1191	-
14114	P10415	BCL2	RecName: Full=Apoptosis regulator Bcl-2;	596	-
13557	P49841	GSK3B	RecName: Full=Glycogen synthase kinase-3 beta {ECO:0000305}; Short=GSK-3 beta; EC=2.7.11.26 {ECO:0000269|PubMed:14690523}; AltName: Full=Serine/threonine-protein kinase GSK3B; EC=2.7.11.1 {ECO:0000269|PubMed:17050006, ECO:0000269|PubMed:22539723, ECO:0000269|PubMed:25827072, ECO:0000269|PubMed:28992046, ECO:0000269|PubMed:29059170};	2932	-
14118	P08069	IGF1R	RecName: Full=Insulin-like growth factor 1 receptor; EC=2.7.10.1; AltName: Full=Insulin-like growth factor I receptor; Short=IGF-I receptor; AltName: CD_antigen=CD221; Contains: RecName: Full=Insulin-like growth factor 1 receptor alpha chain; Contains: RecName: Full=Insulin-like growth factor 1 receptor beta chain; Flags: Precursor;	3480	-
16496	Q6NXT4	SLC30A6	RecName: Full=Zinc transporter 6 {ECO:0000305|PubMed:15994300}; Short=ZnT-6; AltName: Full=Solute carrier family 30 member 6 {ECO:0000312|HGNC:HGNC:19305};	55676	-
23042	Q00059	TFAM	RecName: Full=Transcription factor A, mitochondrial {ECO:0000305}; Short=mtTFA; AltName: Full=Mitochondrial transcription factor 1; Short=MtTF1; AltName: Full=Transcription factor 6; Short=TCF-6; AltName: Full=Transcription factor 6-like 2; Flags: Precursor;	7019	-
10162	P11717	IGF2R	RecName: Full=Cation-independent mannose-6-phosphate receptor; Short=CI Man-6-P receptor; Short=CI-MPR; Short=M6PR; AltName: Full=300 kDa mannose 6-phosphate receptor; Short=MPR 300; AltName: Full=Insulin-like growth factor 2 receptor; AltName: Full=Insulin-like growth factor II receptor; Short=IGF-II receptor; AltName: Full=M6P/IGF2 receptor; Short=M6P/IGF2R; AltName: CD_antigen=CD222; Flags: Precursor;	3482	-
19733	P62760	VSNL1	RecName: Full=Visinin-like protein 1; Short=VILIP; Short=VLP-1; AltName: Full=Hippocalcin-like protein 3; Short=HLP3;	7447	-
16500	O14863	SLC30A4	RecName: Full=Probable proton-coupled zinc antiporter SLC30A4 {ECO:0000305|PubMed:19521526}; AltName: Full=Solute carrier family 30 member 4 {ECO:0000312|HGNC:HGNC:11015}; AltName: Full=Zinc transporter 4 {ECO:0000305|PubMed:19521526}; Short=ZnT-4;	7782	-
14245	P01034	CST3	RecName: Full=Cystatin-C; AltName: Full=Cystatin-3; AltName: Full=Gamma-trace; AltName: Full=Neuroendocrine basic polypeptide; AltName: Full=Post-gamma-globulin; Flags: Precursor;	1471	-
31195	P10082	PYY	RecName: Full=Peptide YY {ECO:0000303|PubMed:2587421}; Short=PYY {ECO:0000303|PubMed:2587421}; AltName: Full=PYY-I {ECO:0000250|UniProtKB:Q9TR93}; AltName: Full=Peptide tyrosine tyrosine; Contains: RecName: Full=Peptide YY(3-36) {ECO:0000303|PubMed:2587421}; AltName: Full=PYY-II {ECO:0000250|UniProtKB:Q9TR93}; Flags: Precursor;	5697	-
12942	P56817	BACE1	RecName: Full=Beta-secretase 1 {ECO:0000305}; EC=3.4.23.46 {ECO:0000269|PubMed:10677483}; AltName: Full=Aspartyl protease 2 {ECO:0000303|PubMed:10656250}; Short=ASP2 {ECO:0000303|PubMed:10656250}; Short=Asp 2 {ECO:0000303|PubMed:10656250}; AltName: Full=Beta-site amyloid precursor protein cleaving enzyme 1; Short=Beta-site APP cleaving enzyme 1; AltName: Full=Memapsin-2 {ECO:0000303|PubMed:10677483, ECO:0000303|PubMed:14567678}; AltName: Full=Membrane-associated aspartic protease 2; Flags: Precursor;	23621	-
45976	O14556	GAPDHS	RecName: Full=Glyceraldehyde-3-phosphate dehydrogenase, testis-specific; EC=1.2.1.12; AltName: Full=Spermatogenic cell-specific glyceraldehyde 3-phosphate dehydrogenase 2; Short=GAPDH-2; AltName: Full=Spermatogenic glyceraldehyde-3-phosphate dehydrogenase;	26330	-
14154	Q92542	NCSTN	RecName: Full=Nicastrin; Flags: Precursor;	23385	-
15281	P01375	TNF	RecName: Full=Tumor necrosis factor; AltName: Full=Cachectin; AltName: Full=TNF-alpha; AltName: Full=Tumor necrosis factor ligand superfamily member 2; Short=TNF-a; Contains: RecName: Full=Tumor necrosis factor, membrane form; AltName: Full=N-terminal fragment; Short=NTF; Contains: RecName: Full=Intracellular domain 1; Short=ICD1; Contains: RecName: Full=Intracellular domain 2; Short=ICD2; Contains: RecName: Full=C-domain 1; Contains: RecName: Full=C-domain 2; Contains: RecName: Full=Tumor necrosis factor, soluble form; Flags: Precursor;	7124	-
14150	P49810	PSEN2	RecName: Full=Presenilin-2; Short=PS-2; EC=3.4.23.-; AltName: Full=AD3LP; AltName: Full=AD5; AltName: Full=E5-1; AltName: Full=STM-2; Contains: RecName: Full=Presenilin-2 NTF subunit; Contains: RecName: Full=Presenilin-2 CTF subunit;	5664	-
11828	P03372	ESR1	RecName: Full=Estrogen receptor; Short=ER; AltName: Full=ER-alpha; AltName: Full=Estradiol receptor; AltName: Full=Nuclear receptor subfamily 3 group A member 1;	2099	-
13845	P06213	INSR	RecName: Full=Insulin receptor; Short=IR; EC=2.7.10.1; AltName: CD_antigen=CD220; Contains: RecName: Full=Insulin receptor subunit alpha; Contains: RecName: Full=Insulin receptor subunit beta; Flags: Precursor;	3643	-
12526	P14672	SLC2A4	RecName: Full=Solute carrier family 2, facilitated glucose transporter member 4 {ECO:0000305}; AltName: Full=Glucose transporter type 4, insulin-responsive {ECO:0000303|PubMed:1397719}; Short=GLUT-4 {ECO:0000303|PubMed:1397719};	6517	-
14539	P27338	MAOB	RecName: Full=Amine oxidase [flavin-containing] B {ECO:0000305}; EC=1.4.3.21 {ECO:0000269|PubMed:11134050, ECO:0000269|PubMed:20493079, ECO:0000269|PubMed:8316221, ECO:0000269|PubMed:8665924}; EC=1.4.3.4 {ECO:0000269|PubMed:20493079}; AltName: Full=Monoamine oxidase type B; Short=MAO-B;	4129	-
14152	P49768	PSEN1	RecName: Full=Presenilin-1; Short=PS-1; EC=3.4.23.- {ECO:0000269|PubMed:10206644, ECO:0000269|PubMed:10811883, ECO:0000269|PubMed:10899933, ECO:0000269|PubMed:12679784, ECO:0000269|PubMed:15274632, ECO:0000269|PubMed:26280335}; AltName: Full=Protein S182; Contains: RecName: Full=Presenilin-1 NTF subunit; Contains: RecName: Full=Presenilin-1 CTF subunit; Contains: RecName: Full=Presenilin-1 CTF12; Short=PS1-CTF12;	5663	-
12651	P06733	ENO1	RecName: Full=Alpha-enolase; EC=4.2.1.11 {ECO:0000269|PubMed:1369209, ECO:0000269|PubMed:29775581}; AltName: Full=2-phospho-D-glycerate hydro-lyase; AltName: Full=C-myc promoter-binding protein; AltName: Full=Enolase 1; AltName: Full=MBP-1; AltName: Full=MPB-1; AltName: Full=Non-neural enolase; Short=NNE; AltName: Full=Phosphopyruvate hydratase; AltName: Full=Plasminogen-binding protein;	2023	-
14472	P00734	F2	RecName: Full=Prothrombin; EC=3.4.21.5; AltName: Full=Coagulation factor II; Contains: RecName: Full=Activation peptide fragment 1; Contains: RecName: Full=Activation peptide fragment 2; Contains: RecName: Full=Thrombin light chain; Contains: RecName: Full=Thrombin heavy chain; Flags: Precursor;	2147	-
