BIANA ID	UniProt ID	Gene Symbol	Description	Gene ID	Equivalent Entries
6963	Q96PD4	IL17F	RecName: Full=Interleukin-17F; Short=IL-17F; AltName: Full=Cytokine ML-1; Flags: Precursor;	112744	-
13418	Q14164	IKBKE	RecName: Full=Inhibitor of nuclear factor kappa-B kinase subunit epsilon; Short=I-kappa-B kinase epsilon; Short=IKK-E; Short=IKK-epsilon; Short=IkBKE; EC=2.7.11.10; AltName: Full=Inducible I kappa-B kinase; Short=IKK-i;	9641	-
11272	Q9C000	NLRP1	RecName: Full=NACHT, LRR and PYD domains-containing protein 1 {ECO:0000305}; EC=3.4.-.- {ECO:0000269|PubMed:22087307}; EC=3.6.4.- {ECO:0000269|PubMed:33243852}; AltName: Full=Caspase recruitment domain-containing protein 7; AltName: Full=Death effector filament-forming ced-4-like apoptosis protein {ECO:0000303|PubMed:11076957}; AltName: Full=Nucleotide-binding domain and caspase recruitment domain; Contains: RecName: Full=NACHT, LRR and PYD domains-containing protein 1, C-terminus {ECO:0000305}; Short=NLRP1-CT {ECO:0000303|PubMed:33420033}; Contains: RecName: Full=NACHT, LRR and PYD domains-containing protein 1, N-terminus {ECO:0000305}; Short=NLRP1-NT {ECO:0000303|PubMed:33420033};	22861	-
14957	P49682	CXCR3	RecName: Full=C-X-C chemokine receptor type 3; Short=CXC-R3; Short=CXCR-3; AltName: Full=CKR-L2; AltName: Full=G protein-coupled receptor 9; AltName: Full=Interferon-inducible protein 10 receptor; Short=IP-10 receptor; AltName: CD_antigen=CD183;	2833	-
14913	P19838	NFKB1	RecName: Full=Nuclear factor NF-kappa-B p105 subunit; AltName: Full=DNA-binding factor KBF1; AltName: Full=EBP-1; AltName: Full=Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1; Contains: RecName: Full=Nuclear factor NF-kappa-B p50 subunit;	4790	-
54729	Q07021	C1QBP	RecName: Full=Complement component 1 Q subcomponent-binding protein, mitochondrial; AltName: Full=ASF/SF2-associated protein p32; AltName: Full=Glycoprotein gC1qBP; Short=C1qBP; AltName: Full=Hyaluronan-binding protein 1; AltName: Full=Mitochondrial matrix protein p32; AltName: Full=gC1q-R protein; AltName: Full=p33; Short=SF2AP32 {ECO:0000303|PubMed:18191643}; Flags: Precursor;	708	-
14571	Q9Y2C9	TLR6	RecName: Full=Toll-like receptor 6; AltName: CD_antigen=CD286; Flags: Precursor;	10333	-
14572	O60603	TLR2	RecName: Full=Toll-like receptor 2 {ECO:0000305}; AltName: Full=Toll/interleukin-1 receptor-like protein 4; AltName: CD_antigen=CD282; Flags: Precursor;	7097	-
8303	P22301	IL10	RecName: Full=Interleukin-10; Short=IL-10; AltName: Full=Cytokine synthesis inhibitory factor; Short=CSIF; Flags: Precursor;	3586	-
14078	P78545	ELF3	RecName: Full=ETS-related transcription factor Elf-3; AltName: Full=E74-like factor 3; AltName: Full=Epithelial-restricted with serine box; AltName: Full=Epithelium-restricted Ets protein ESX; AltName: Full=Epithelium-specific Ets transcription factor 1; Short=ESE-1;	1999	-
8018	P51449	RORC	RecName: Full=Nuclear receptor ROR-gamma; AltName: Full=Nuclear receptor RZR-gamma; AltName: Full=Nuclear receptor subfamily 1 group F member 3; AltName: Full=RAR-related orphan receptor C; AltName: Full=Retinoid-related orphan receptor-gamma;	6097	-
57949	Q15848	ADIPOQ	RecName: Full=Adiponectin; AltName: Full=30 kDa adipocyte complement-related protein; AltName: Full=Adipocyte complement-related 30 kDa protein; Short=ACRP30; AltName: Full=Adipocyte, C1q and collagen domain-containing protein; AltName: Full=Adipose most abundant gene transcript 1 protein {ECO:0000303|PubMed:8619847}; Short=apM-1 {ECO:0000303|PubMed:10403784}; AltName: Full=Gelatin-binding protein; Flags: Precursor;	9370	-
15281	P01375	TNF	RecName: Full=Tumor necrosis factor; AltName: Full=Cachectin; AltName: Full=TNF-alpha; AltName: Full=Tumor necrosis factor ligand superfamily member 2; Short=TNF-a; Contains: RecName: Full=Tumor necrosis factor, membrane form; AltName: Full=N-terminal fragment; Short=NTF; Contains: RecName: Full=Intracellular domain 1; Short=ICD1; Contains: RecName: Full=Intracellular domain 2; Short=ICD2; Contains: RecName: Full=C-domain 1; Contains: RecName: Full=C-domain 2; Contains: RecName: Full=Tumor necrosis factor, soluble form; Flags: Precursor;	7124	-
15514	P05089	ARG1	RecName: Full=Arginase-1; EC=3.5.3.1 {ECO:0000269|PubMed:16141327, ECO:0000269|PubMed:17562323, ECO:0000269|PubMed:21728378}; AltName: Full=Liver-type arginase; AltName: Full=Type I arginase;	383	-
22072	Q03169	TNFAIP2	RecName: Full=Tumor necrosis factor alpha-induced protein 2; Short=TNF alpha-induced protein 2; AltName: Full=Primary response gene B94 protein;	7127	-
22662	P01033	TIMP1	RecName: Full=Metalloproteinase inhibitor 1; AltName: Full=Erythroid-potentiating activity; Short=EPA; AltName: Full=Fibroblast collagenase inhibitor; Short=Collagenase inhibitor; AltName: Full=Tissue inhibitor of metalloproteinases 1; Short=TIMP-1; Flags: Precursor;	7076	-
11380	Q04864	REL	RecName: Full=Proto-oncogene c-Rel;	5966	-
40821	P01042	KNG1	RecName: Full=Kininogen-1; AltName: Full=Alpha-2-thiol proteinase inhibitor; AltName: Full=Fitzgerald factor; AltName: Full=High molecular weight kininogen; Short=HMWK; AltName: Full=Williams-Fitzgerald-Flaujeac factor; Contains: RecName: Full=Kininogen-1 heavy chain; Contains: RecName: Full=T-kinin; AltName: Full=Ile-Ser-Bradykinin; Contains: RecName: Full=Bradykinin {ECO:0000303|PubMed:3366244}; AltName: Full=Kallidin I; Contains: RecName: Full=Lysyl-bradykinin; AltName: Full=Kallidin II; Contains: RecName: Full=Kininogen-1 light chain; Contains: RecName: Full=Low molecular weight growth-promoting factor; Flags: Precursor;	3827	-
53750	Q8NHW4; P13236	CCL4L1; CCL4L2; CCL4	RecName: Full=C-C motif chemokine 4-like; AltName: Full=Lymphocyte activation gene 1 protein; Short=LAG-1; AltName: Full=Macrophage inflammatory protein 1-beta; Short=MIP-1-beta; AltName: Full=Monocyte adherence-induced protein 5-alpha; AltName: Full=Small-inducible cytokine A4-like; Flags: Precursor;; RecName: Full=C-C motif chemokine 4; AltName: Full=G-26 T-lymphocyte-secreted protein; AltName: Full=HC21; AltName: Full=Lymphocyte activation gene 1 protein; Short=LAG-1; AltName: Full=MIP-1-beta(1-69); AltName: Full=Macrophage inflammatory protein 1-beta; Short=MIP-1-beta; AltName: Full=PAT 744; AltName: Full=Protein H400; AltName: Full=SIS-gamma; AltName: Full=Small-inducible cytokine A4; AltName: Full=T-cell activation protein 2; Short=ACT-2; Contains: RecName: Full=MIP-1-beta(3-69); Flags: Precursor;	9560; 6351; 388372	-
14472	P00734	F2	RecName: Full=Prothrombin; EC=3.4.21.5; AltName: Full=Coagulation factor II; Contains: RecName: Full=Activation peptide fragment 1; Contains: RecName: Full=Activation peptide fragment 2; Contains: RecName: Full=Thrombin light chain; Contains: RecName: Full=Thrombin heavy chain; Flags: Precursor;	2147	-
