BIANA ID	UniProt ID	Gene Symbol	Description	Gene ID	Equivalent Entries
8233	P05362	ICAM1	RecName: Full=Intercellular adhesion molecule 1; Short=ICAM-1; AltName: Full=Major group rhinovirus receptor; AltName: CD_antigen=CD54; Flags: Precursor;	3383	-
13695	P08588	ADRB1	RecName: Full=Beta-1 adrenergic receptor {ECO:0000305}; AltName: Full=Beta-1 adrenoreceptor; Short=Beta-1 adrenoceptor;	153	-
14850	Q49AN0	CRY2	RecName: Full=Cryptochrome-2;	1408	-
35602	P01303	NPY	RecName: Full=Pro-neuropeptide Y; Contains: RecName: Full=Neuropeptide Y; AltName: Full=Neuropeptide tyrosine; Short=NPY; Contains: RecName: Full=C-flanking peptide of NPY; Short=CPON; Flags: Precursor;	4852	-
15896	P42336	PIK3CA	RecName: Full=Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform; Short=PI3-kinase subunit alpha; Short=PI3K-alpha; Short=PI3Kalpha {ECO:0000303|PubMed:28676499}; Short=PtdIns-3-kinase subunit alpha; EC=2.7.1.137 {ECO:0000269|PubMed:23936502}; EC=2.7.1.153 {ECO:0000269|PubMed:15135396, ECO:0000269|PubMed:28676499}; AltName: Full=Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit alpha; Short=PtdIns-3-kinase subunit p110-alpha; Short=p110alpha {ECO:0000303|PubMed:15135396}; AltName: Full=Phosphoinositide 3-kinase alpha {ECO:0000303|PubMed:28676499}; AltName: Full=Phosphoinositide-3-kinase catalytic alpha polypeptide; AltName: Full=Serine/threonine protein kinase PIK3CA; EC=2.7.11.1 {ECO:0000269|PubMed:23936502, ECO:0000269|PubMed:28676499};	5290	-
9071	P07203	GPX1	RecName: Full=Glutathione peroxidase 1 {ECO:0000305}; Short=GPx-1 {ECO:0000303|PubMed:11115402}; Short=GSHPx-1; EC=1.11.1.9 {ECO:0000269|PubMed:11115402, ECO:0000269|PubMed:36608588}; AltName: Full=Cellular glutathione peroxidase; AltName: Full=Phospholipid-hydroperoxide glutathione peroxidase GPX1 {ECO:0000303|PubMed:36608588}; EC=1.11.1.12 {ECO:0000269|PubMed:11115402, ECO:0000269|PubMed:36608588};	2876	-
12897	Q15165	PON2	RecName: Full=Serum paraoxonase/arylesterase 2; Short=PON 2; EC=3.1.1.2; EC=3.1.1.81; AltName: Full=Aromatic esterase 2; Short=A-esterase 2; AltName: Full=Serum aryldialkylphosphatase 2;	5445	-
7288	P01019	AGT	RecName: Full=Angiotensinogen {ECO:0000305}; AltName: Full=Serpin A8; Contains: RecName: Full=Angiotensin-1; AltName: Full=Angiotensin 1-10; AltName: Full=Angiotensin I; Short=Ang I; Contains: RecName: Full=Angiotensin-2; AltName: Full=Angiotensin 1-8; AltName: Full=Angiotensin II; Short=Ang II; Contains: RecName: Full=Angiotensin-3; AltName: Full=Angiotensin 2-8; AltName: Full=Angiotensin III; Short=Ang III; AltName: Full=Des-Asp[1]-angiotensin II; Contains: RecName: Full=Angiotensin-4; AltName: Full=Angiotensin 3-8; AltName: Full=Angiotensin IV; Short=Ang IV; Contains: RecName: Full=Angiotensin 1-9; Contains: RecName: Full=Angiotensin 1-7; Contains: RecName: Full=Angiotensin 1-5; Contains: RecName: Full=Angiotensin 1-4; Flags: Precursor;	183	-
14915	P02768	ALB	RecName: Full=Albumin; Flags: Precursor;	213	-
14245	P01034	CST3	RecName: Full=Cystatin-C; AltName: Full=Cystatin-3; AltName: Full=Gamma-trace; AltName: Full=Neuroendocrine basic polypeptide; AltName: Full=Post-gamma-globulin; Flags: Precursor;	1471	-
