GO:0106414	mRNA dihydrouridine synthase activity	56931
GO:0004866	endopeptidase inhibitor activity	6590
GO:0004866	endopeptidase inhibitor activity	5345
GO:0004866	endopeptidase inhibitor activity	8434
GO:0004866	endopeptidase inhibitor activity	51377
GO:0004866	endopeptidase inhibitor activity	2634
GO:0004866	endopeptidase inhibitor activity	9097
GO:0004866	endopeptidase inhibitor activity	115362
GO:0004866	endopeptidase inhibitor activity	7057
GO:0004866	endopeptidase inhibitor activity	1471
GO:0004866	endopeptidase inhibitor activity	2
GO:0004866	endopeptidase inhibitor activity	1476
GO:0017089	glycolipid transfer activity	84725
GO:0034604	pyruvate dehydrogenase (NAD+) activity	1738
GO:0034604	pyruvate dehydrogenase (NAD+) activity	5162
GO:0034604	pyruvate dehydrogenase (NAD+) activity	8050
GO:0034604	pyruvate dehydrogenase (NAD+) activity	1737
GO:0034604	pyruvate dehydrogenase (NAD+) activity	5161
GO:0061731	ribonucleoside-diphosphate reductase activity	6240
GO:0061730	C-rich strand telomeric DNA binding	79035
GO:0061733	peptide-lysine-N-acetyltransferase activity	2648
GO:0061733	peptide-lysine-N-acetyltransferase activity	80218
GO:0061733	peptide-lysine-N-acetyltransferase activity	23522
GO:0061733	peptide-lysine-N-acetyltransferase activity	84148
GO:0061733	peptide-lysine-N-acetyltransferase activity	114799
GO:0061733	peptide-lysine-N-acetyltransferase activity	10524
GO:0061733	peptide-lysine-N-acetyltransferase activity	2033
GO:0061733	peptide-lysine-N-acetyltransferase activity	1387
GO:0061733	peptide-lysine-N-acetyltransferase activity	8850
GO:0047127	thiomorpholine-carboxylate dehydrogenase activity	1428
GO:0016807	cysteine-type carboxypeptidase activity	55793
GO:0016807	cysteine-type carboxypeptidase activity	54629
GO:0031708	endothelin B receptor binding	1906
GO:0047685	amine sulfotransferase activity	6818
GO:0034190	apolipoprotein receptor binding	255738
GO:0008649	rRNA methyltransferase activity	387338
GO:0019992	diacylglycerol binding	115727
GO:0019992	diacylglycerol binding	5360
GO:0019992	diacylglycerol binding	128486
GO:0019992	diacylglycerol binding	10125
GO:0004814	arginine-tRNA ligase activity	5917
GO:0004814	arginine-tRNA ligase activity	57038
GO:0016517	interleukin-12 receptor activity	3594
GO:0034512	box C/D sno(s)RNA binding	4809
GO:0016519	gastric inhibitory peptide receptor activity	2696
GO:0015378	sodium:chloride symporter activity	6529
GO:0015378	sodium:chloride symporter activity	6559
GO:0017176	phosphatidylinositol N-acetylglucosaminyltransferase activity	51227
GO:0017176	phosphatidylinositol N-acetylglucosaminyltransferase activity	84992
GO:0001069	regulatory region RNA binding	1660
GO:0017172	cysteine dioxygenase activity	1036
GO:0017171	serine hydrolase activity	13
GO:0017171	serine hydrolase activity	43
GO:0035368	selenocysteine insertion sequence binding	79048
GO:1990136	linoleate 9S-lipoxygenase activity	242
GO:0001067	transcription regulatory region nucleic acid binding	53335
GO:0001067	transcription regulatory region nucleic acid binding	132660
GO:0035173	histone kinase activity	983
GO:0035173	histone kinase activity	1017
GO:0017178	diphthine-ammonia ligase activity	89978
GO:0030298	receptor signaling protein tyrosine kinase activator activity	6352
GO:0030298	receptor signaling protein tyrosine kinase activator activity	4058
GO:0050833	pyruvate transmembrane transporter activity	9123
GO:0050833	pyruvate transmembrane transporter activity	9194
GO:0030550	acetylcholine receptor inhibitor activity	130574
GO:0034353	mRNA 5'-diphosphatase activity	1797
GO:0004630	phospholipase D activity	5337
GO:0004630	phospholipase D activity	222584
GO:0030291	protein serine/threonine kinase inhibitor activity	84335
GO:0030291	protein serine/threonine kinase inhibitor activity	389119
GO:0030291	protein serine/threonine kinase inhibitor activity	55924
GO:0030291	protein serine/threonine kinase inhibitor activity	5583
GO:0030291	protein serine/threonine kinase inhibitor activity	207
GO:0030291	protein serine/threonine kinase inhibitor activity	11113
GO:0030291	protein serine/threonine kinase inhibitor activity	57521
GO:0030291	protein serine/threonine kinase inhibitor activity	161742
GO:0030291	protein serine/threonine kinase inhibitor activity	64798
GO:0030291	protein serine/threonine kinase inhibitor activity	200734
GO:0030291	protein serine/threonine kinase inhibitor activity	10519
GO:0030291	protein serine/threonine kinase inhibitor activity	27429
GO:0030291	protein serine/threonine kinase inhibitor activity	260434
GO:0030291	protein serine/threonine kinase inhibitor activity	9555
GO:0030292	protein tyrosine kinase inhibitor activity	857
