BIANA ID	UniProt ID	Gene Symbol	Seed	Description	Gene ID	Equivalent Entries	GUILD Score	Degree
11875	P27694	RPA1	0	RecName: Full=Replication protein A 70 kDa DNA-binding subunit; Short=RP-A p70; AltName: Full=Replication factor A protein 1; Short=RF-A protein 1; AltName: Full=Single-stranded DNA-binding protein; Contains: RecName: Full=Replication protein A 70 kDa DNA-binding subunit, N-terminally processed;	6117	-	1.0	3077
22929	O43493	TGOLN2	0	RecName: Full=Trans-Golgi network integral membrane protein 2 {ECO:0000305}; AltName: Full=Trans-Golgi network glycoprotein 46 {ECO:0000303|PubMed:9422759}; Short=TGN38 homolog {ECO:0000305|PubMed:9422759}; Short=hTGN46 {ECO:0000303|PubMed:9422759}; AltName: Full=Trans-Golgi network glycoprotein 48 {ECO:0000303|PubMed:9422759}; Short=hTGN48 {ECO:0000303|PubMed:9422759}; AltName: Full=Trans-Golgi network glycoprotein 51 {ECO:0000303|PubMed:9422759}; Short=hTGN51 {ECO:0000303|PubMed:9422759}; AltName: Full=Trans-Golgi network protein 2 {ECO:0000312|HGNC:HGNC:15450}; Flags: Precursor;	10618	-	0.972933	1497
30211	P15927	RPA2	0	RecName: Full=Replication protein A 32 kDa subunit; Short=RP-A p32; AltName: Full=Replication factor A protein 2; Short=RF-A protein 2; AltName: Full=Replication protein A 34 kDa subunit; Short=RP-A p34;	6118	-	0.952188	2869
30207	P35244	RPA3	0	RecName: Full=Replication protein A 14 kDa subunit; Short=RP-A p14; AltName: Full=Replication factor A protein 3; Short=RF-A protein 3;	6119	-	0.924372	2857
9708	P05067	APP	1	RecName: Full=Amyloid-beta precursor protein {ECO:0000312|HGNC:HGNC:620}; Short=APP {ECO:0000312|HGNC:HGNC:620}; AltName: Full=ABPP; AltName: Full=APPI; AltName: Full=Alzheimer disease amyloid A4 protein homolog; AltName: Full=Alzheimer disease amyloid protein; AltName: Full=Amyloid precursor protein {ECO:0000305}; AltName: Full=Amyloid-beta (A4) precursor protein {ECO:0000250|UniProtKB:P12023}; AltName: Full=Amyloid-beta A4 protein; AltName: Full=Cerebral vascular amyloid peptide; Short=CVAP; AltName: Full=PreA4; AltName: Full=Protease nexin-II; Short=PN-II; Contains: RecName: Full=N-APP; Contains: RecName: Full=Soluble APP-alpha {ECO:0000303|PubMed:10656250}; Short=S-APP-alpha {ECO:0000303|PubMed:10656250}; Contains: RecName: Full=Soluble APP-beta {ECO:0000303|PubMed:10656250}; Short=S-APP-beta {ECO:0000303|PubMed:10656250}; Contains: RecName: Full=C99; AltName: Full=Beta-secretase C-terminal fragment {ECO:0000303|PubMed:10656250}; Short=Beta-CTF {ECO:0000303|PubMed:10656250}; Contains: RecName: Full=Amyloid-beta protein 42 {ECO:0000303|PubMed:8886002}; Short=Abeta42; AltName: Full=Beta-APP42; Contains: RecName: Full=Amyloid-beta protein 40 {ECO:0000303|PubMed:8886002}; Short=Abeta40; AltName: Full=Beta-APP40; Contains: RecName: Full=C83; AltName: Full=Alpha-secretase C-terminal fragment {ECO:0000303|PubMed:10656250}; Short=Alpha-CTF {ECO:0000303|PubMed:10656250}; Contains: RecName: Full=P3(42); Contains: RecName: Full=P3(40); Contains: RecName: Full=C80; Contains: RecName: Full=Gamma-secretase C-terminal fragment 59; AltName: Full=Amyloid intracellular domain 59; Short=AICD-59; Short=AID(59); AltName: Full=Gamma-CTF(59); Contains: RecName: Full=Gamma-secretase C-terminal fragment 57; AltName: Full=Amyloid intracellular domain 57; Short=AICD-57; Short=AID(57); AltName: Full=Gamma-CTF(57); Contains: RecName: Full=Gamma-secretase C-terminal fragment 50; AltName: Full=Amyloid intracellular domain 50; Short=AICD-50; Short=AID(50); AltName: Full=Gamma-CTF(50); Contains: RecName: Full=C31; Flags: Precursor;	351	-	0.841999	955
15601	P04637	TP53	1	RecName: Full=Cellular tumor antigen p53; AltName: Full=Antigen NY-CO-13; AltName: Full=Phosphoprotein p53; AltName: Full=Tumor suppressor p53;	7157	-	0.798438	1185
20479	Q9UMX0	UBQLN1	1	RecName: Full=Ubiquilin-1; AltName: Full=Protein linking IAP with cytoskeleton 1; Short=PLIC-1; Short=hPLIC-1;	29979	-	0.790684	376
14463	P09874	PARP1	1	RecName: Full=Poly [ADP-ribose] polymerase 1 {ECO:0000303|PubMed:2824474, ECO:0000303|PubMed:3120710}; Short=PARP-1 {ECO:0000303|PubMed:15607977}; EC=2.4.2.30 {ECO:0000269|PubMed:18172500, ECO:0000269|PubMed:19764761, ECO:0000269|PubMed:25043379, ECO:0000269|PubMed:26344098, ECO:0000269|PubMed:28190768, ECO:0000269|PubMed:33683197, ECO:0000269|PubMed:7852410}; AltName: Full=ADP-ribosyltransferase diphtheria toxin-like 1 {ECO:0000303|PubMed:29954836}; Short=ARTD1 {ECO:0000303|PubMed:29954836}; AltName: Full=DNA ADP-ribosyltransferase PARP1 {ECO:0000305}; EC=2.4.2.- {ECO:0000269|PubMed:27471034}; AltName: Full=NAD(+) ADP-ribosyltransferase 1 {ECO:0000303|Ref.11}; Short=ADPRT 1 {ECO:0000303|Ref.11}; AltName: Full=Poly[ADP-ribose] synthase 1; AltName: Full=Protein poly-ADP-ribosyltransferase PARP1 {ECO:0000305}; EC=2.4.2.- {ECO:0000269|PubMed:19764761, ECO:0000269|PubMed:25043379, ECO:0000269|PubMed:27256882, ECO:0000269|PubMed:33683197, ECO:0000269|PubMed:34210965, ECO:0000269|PubMed:34625544, ECO:0000269|PubMed:35393539}; Contains: RecName: Full=Poly [ADP-ribose] polymerase 1, processed C-terminus {ECO:0000305}; AltName: Full=Poly [ADP-ribose] polymerase 1, 89-kDa form {ECO:0000303|PubMed:33168626}; Contains: RecName: Full=Poly [ADP-ribose] polymerase 1, processed N-terminus {ECO:0000305}; Short=NT-PARP-1 {ECO:0000303|PubMed:35104452}; AltName: Full=Poly [ADP-ribose] polymerase 1, 24-kDa form {ECO:0000303|PubMed:33168626}; AltName: Full=Poly [ADP-ribose] polymerase 1, 28-kDa form {ECO:0000303|PubMed:9721847};	142	-	0.785166	1438
9682	P04792	HSPB1	1	RecName: Full=Heat shock protein beta-1; Short=HspB1; AltName: Full=28 kDa heat shock protein; AltName: Full=Estrogen-regulated 24 kDa protein; AltName: Full=Heat shock 27 kDa protein; Short=HSP 27; AltName: Full=Heat shock protein family B member 1; AltName: Full=Stress-responsive protein 27; Short=SRP27;	3315	-	0.7641	1203
10469	P0DMV9; P0DMV8	HSPA1A; HSPA1B	1	RecName: Full=Heat shock 70 kDa protein 1A {ECO:0000312|HGNC:HGNC:5232}; AltName: Full=Heat shock 70 kDa protein 1; Short=HSP70-1 {ECO:0000303|PubMed:14656967, ECO:0000303|PubMed:2538825}; Short=HSP70.1; AltName: Full=Heat shock protein family A member 1A;; RecName: Full=Heat shock 70 kDa protein 1B {ECO:0000312|HGNC:HGNC:5233}; AltName: Full=Heat shock 70 kDa protein 2; Short=HSP70-2 {ECO:0000303|PubMed:14656967, ECO:0000303|PubMed:2538825}; Short=HSP70.2; AltName: Full=Heat shock protein family A member 1B;	3304; 3303	-	0.763741	1377
