BIANA ID	UniProt ID	Gene Symbol	Description	Gene ID	Equivalent Entries
26841	Q7Z333	SETX	RecName: Full=Probable helicase senataxin {ECO:0000305}; EC=3.6.4.-; AltName: Full=Amyotrophic lateral sclerosis 4 protein; AltName: Full=SEN1 homolog {ECO:0000305}; AltName: Full=Senataxin {ECO:0000303|PubMed:14770181, ECO:0000312|HGNC:HGNC:445};	23064	-
38485	O75121	MFAP3L	RecName: Full=Microfibrillar-associated protein 3-like; AltName: Full=Testis development protein NYD-SP9 {ECO:0000303|Ref.1}; Flags: Precursor;	9848	-
57618	Q9UKA4	AKAP11	RecName: Full=A-kinase anchor protein 11; Short=AKAP-11; AltName: Full=A-kinase anchor protein 220 kDa; Short=AKAP 220; Short=hAKAP220; AltName: Full=Protein kinase A-anchoring protein 11; Short=PRKA11;	11215	-
55269	Q9Y6D6	ARFGEF1	RecName: Full=Brefeldin A-inhibited guanine nucleotide-exchange protein 1; Short=Brefeldin A-inhibited GEP 1; AltName: Full=ADP-ribosylation factor guanine nucleotide-exchange factor 1; AltName: Full=p200 ARF guanine nucleotide exchange factor; AltName: Full=p200 ARF-GEP1;	10565	-
55181	Q2LD37	BLTP1	RecName: Full=Bridge-like lipid transfer protein family member 1 {ECO:0000305}; AltName: Full=Fragile site-associated protein;	84162	-
28413	Q5VWQ0	RSBN1	RecName: Full=Lysine-specific demethylase 9 {ECO:0000250|UniProtKB:Q80T69}; Short=KDM9 {ECO:0000250|UniProtKB:Q80T69}; EC=1.14.11.- {ECO:0000250|UniProtKB:Q80T69}; AltName: Full=Round spermatid basic protein 1;	54665	-
15807	P06756	ITGAV	RecName: Full=Integrin alpha-V; AltName: Full=Vitronectin receptor {ECO:0000312|HGNC:HGNC:6150}; AltName: Full=Vitronectin receptor subunit alpha; AltName: CD_antigen=CD51; Contains: RecName: Full=Integrin alpha-V heavy chain; Contains: RecName: Full=Integrin alpha-V light chain; Flags: Precursor;	3685	-
54376	Q08AD1	CAMSAP2	RecName: Full=Calmodulin-regulated spectrin-associated protein 2 {ECO:0000305}; AltName: Full=Calmodulin-regulated spectrin-associated protein 1-like protein 1;	23271	-
12814	Q13315	ATM	RecName: Full=Serine-protein kinase ATM; EC=2.7.11.1 {ECO:0000269|PubMed:15448695, ECO:0000269|PubMed:15790808, ECO:0000269|PubMed:16858402, ECO:0000269|PubMed:28508083, ECO:0000269|PubMed:30886146, ECO:0000269|PubMed:8988033, ECO:0000269|PubMed:9843217}; AltName: Full=Ataxia telangiectasia mutated; Short=A-T mutated;	472	-
14641	P40189	IL6ST	RecName: Full=Interleukin-6 receptor subunit beta {ECO:0000305}; Short=IL-6 receptor subunit beta; Short=IL-6R subunit beta; Short=IL-6R-beta; Short=IL-6RB; AltName: Full=CDw130; AltName: Full=Interleukin-6 signal transducer; AltName: Full=Membrane glycoprotein 130; Short=gp130 {ECO:0000303|PubMed:12829785}; AltName: Full=Oncostatin-M receptor subunit alpha; AltName: CD_antigen=CD130; Flags: Precursor;	3572	-
14321	P35573	AGL	RecName: Full=Glycogen debranching enzyme; AltName: Full=Glycogen debrancher; Includes: RecName: Full=4-alpha-glucanotransferase; EC=2.4.1.25; AltName: Full=Oligo-1,4-1,4-glucantransferase; Includes: RecName: Full=Amylo-alpha-1,6-glucosidase; Short=Amylo-1,6-glucosidase; EC=3.2.1.33; AltName: Full=Dextrin 6-alpha-D-glucosidase;	178	-
48873	Q8NCM8	DYNC2H1	RecName: Full=Cytoplasmic dynein 2 heavy chain 1; AltName: Full=Cytoplasmic dynein 2 heavy chain; AltName: Full=Dynein cytoplasmic heavy chain 2; AltName: Full=Dynein heavy chain 11; Short=hDHC11; AltName: Full=Dynein heavy chain isotype 1B;	79659	-
36082	Q6T4R5	NHS	RecName: Full=Actin remodeling regulator NHS {ECO:0000305}; AltName: Full=Congenital cataracts and dental anomalies protein; AltName: Full=Nance-Horan syndrome protein;	4810	-
53622	Q6YHK3	CD109	RecName: Full=CD109 antigen; AltName: Full=150 kDa TGF-beta-1-binding protein; AltName: Full=C3 and PZP-like alpha-2-macroglobulin domain-containing protein 7; AltName: Full=Platelet-specific Gov antigen; AltName: Full=p180; AltName: Full=r150; AltName: CD_antigen=CD109; Flags: Precursor;	135228	-
21064	P53804	TTC3	RecName: Full=E3 ubiquitin-protein ligase TTC3; EC=2.3.2.27 {ECO:0000269|PubMed:20059950, ECO:0000269|PubMed:30696809}; AltName: Full=Protein DCRR1; AltName: Full=RING finger protein 105; AltName: Full=RING-type E3 ubiquitin transferase TTC3 {ECO:0000305}; AltName: Full=TPR repeat protein D; AltName: Full=Tetratricopeptide repeat protein 3; Short=TPR repeat protein 3;	7267	-
36755	Q6ZS30	NBEAL1	RecName: Full=Neurobeachin-like protein 1; AltName: Full=Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 16 protein; AltName: Full=Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 17 protein;	65065	-
7675	Q96Q15	SMG1	RecName: Full=Serine/threonine-protein kinase SMG1; Short=SMG-1; Short=hSMG-1; EC=2.7.11.1; AltName: Full=Lambda/iota protein kinase C-interacting protein {ECO:0000303|PubMed:8524286}; Short=Lambda-interacting protein {ECO:0000303|PubMed:8524286}; AltName: Full=Nonsense mediated mRNA decay-associated PI3K-related kinase SMG1 {ECO:0000312|HGNC:HGNC:30045};	23049	-
31676	Q9NYI0	PSD3	RecName: Full=PH and SEC7 domain-containing protein 3; AltName: Full=Epididymis tissue protein Li 20mP; AltName: Full=Exchange factor for ADP-ribosylation factor guanine nucleotide factor 6 D; Short=Exchange factor for ARF6 D; AltName: Full=Hepatocellular carcinoma-associated antigen 67; AltName: Full=Pleckstrin homology and SEC7 domain-containing protein 3;	23362	-
57841	Q9UHB7	AFF4	RecName: Full=AF4/FMR2 family member 4; AltName: Full=ALL1-fused gene from chromosome 5q31 protein; Short=Protein AF-5q31; AltName: Full=Major CDK9 elongation factor-associated protein;	27125	-
9487	Q9H999	PANK3	RecName: Full=Pantothenate kinase 3; Short=hPanK3; EC=2.7.1.33 {ECO:0000269|PubMed:17631502, ECO:0000269|PubMed:20797618, ECO:0000269|PubMed:27555321, ECO:0000269|PubMed:30927326}; AltName: Full=Pantothenic acid kinase 3;	79646	-
52845	Q3L8U1	CHD9	RecName: Full=Chromodomain-helicase-DNA-binding protein 9; Short=CHD-9; EC=3.6.4.12; AltName: Full=ATP-dependent helicase CHD9; AltName: Full=Chromatin-related mesenchymal modulator; Short=CReMM; AltName: Full=Chromatin-remodeling factor CHROM1; AltName: Full=Kismet homolog 2; AltName: Full=PPAR-alpha-interacting complex protein 320 kDa; AltName: Full=Peroxisomal proliferator-activated receptor A-interacting complex 320 kDa protein;	80205	-
7207	Q9UPY5	SLC7A11	RecName: Full=Cystine/glutamate transporter {ECO:0000305}; AltName: Full=Amino acid transport system xc-; AltName: Full=Calcium channel blocker resistance protein CCBR1; AltName: Full=Solute carrier family 7 member 11; AltName: Full=xCT {ECO:0000303|PubMed:11213471};	23657	-
40977	Q9Y4X4	KLF12	RecName: Full=Krueppel-like factor 12; AltName: Full=Transcriptional repressor AP-2rep;	11278	-
11360	Q9Y4C1	KDM3A	RecName: Full=Lysine-specific demethylase 3A; EC=1.14.11.65 {ECO:0000269|PubMed:16603237}; AltName: Full=JmjC domain-containing histone demethylation protein 2A; AltName: Full=Jumonji domain-containing protein 1A; AltName: Full=[histone H3]-dimethyl-L-lysine(9) demethylase 3A {ECO:0000305};	55818	-
10551	Q13873	BMPR2	RecName: Full=Bone morphogenetic protein receptor type-2; Short=BMP type-2 receptor; Short=BMPR-2; EC=2.7.11.30; AltName: Full=Bone morphogenetic protein receptor type II; Short=BMP type II receptor; Short=BMPR-II; Flags: Precursor;	659	-
10917	Q15652	JMJD1C	RecName: Full=Probable JmjC domain-containing histone demethylation protein 2C; EC=1.14.11.-; AltName: Full=Jumonji domain-containing protein 1C; AltName: Full=Thyroid receptor-interacting protein 8; Short=TR-interacting protein 8; Short=TRIP-8;	221037	-
44950	Q14789	GOLGB1	RecName: Full=Golgin subfamily B member 1; AltName: Full=372 kDa Golgi complex-associated protein; Short=GCP372; AltName: Full=Giantin; AltName: Full=Macrogolgin;	2804	-
10952	Q7L7X3	TAOK1	RecName: Full=Serine/threonine-protein kinase TAO1; EC=2.7.11.1; AltName: Full=Kinase from chicken homolog B; Short=hKFC-B; AltName: Full=MARK Kinase; Short=MARKK; AltName: Full=Prostate-derived sterile 20-like kinase 2; Short=PSK-2; Short=PSK2; Short=Prostate-derived STE20-like kinase 2; AltName: Full=Thousand and one amino acid protein kinase 1; Short=TAOK1; Short=hTAOK1;	57551	-
7996	Q7L9L4	MOB1B	RecName: Full=MOB kinase activator 1B; AltName: Full=Mob1 homolog 1A; Short=Mob1A; AltName: Full=Mob1B; AltName: Full=Mps one binder kinase activator-like 1A;	92597	-
56190	Q76L83	ASXL2	RecName: Full=Putative Polycomb group protein ASXL2; AltName: Full=Additional sex combs-like protein 2;	55252	-
53268	Q5VT06	CEP350	RecName: Full=Centrosome-associated protein 350 {ECO:0000305}; Short=Cep350; AltName: Full=Centrosome-associated protein of 350 kDa {ECO:0000303|Ref.1};	9857	-
15152	Q9NSI6	BRWD1	RecName: Full=Bromodomain and WD repeat-containing protein 1; AltName: Full=WD repeat-containing protein 9;	54014	-
20533	Q70CQ2	USP34	RecName: Full=Ubiquitin carboxyl-terminal hydrolase 34; EC=3.4.19.12 {ECO:0000269|PubMed:14715245, ECO:0000269|PubMed:21383061}; AltName: Full=Deubiquitinating enzyme 34; AltName: Full=Ubiquitin thioesterase 34; AltName: Full=Ubiquitin-specific-processing protease 34;	9736	-
35220	Q7Z417	NUFIP2	RecName: Full=FMR1-interacting protein NUFIP2 {ECO:0000305|PubMed:12837692}; AltName: Full=82 kDa FMRP-interacting protein; Short=82-FIP; AltName: Full=Cell proliferation-inducing gene 1 protein; AltName: Full=FMRP-interacting protein 2; AltName: Full=Nuclear FMR1-interacting protein 2 {ECO:0000312|HGNC:HGNC:17634};	57532	-
26206	Q08AF3	SLFN5	RecName: Full=Schlafen family member 5;	162394	-
14787	Q16832	DDR2	RecName: Full=Discoidin domain-containing receptor 2; Short=Discoidin domain receptor 2; EC=2.7.10.1; AltName: Full=CD167 antigen-like family member B; AltName: Full=Discoidin domain-containing receptor tyrosine kinase 2; AltName: Full=Neurotrophic tyrosine kinase, receptor-related 3; AltName: Full=Receptor protein-tyrosine kinase TKT; AltName: Full=Tyrosine-protein kinase TYRO10; AltName: CD_antigen=CD167b; Flags: Precursor;	4921	-
41691	Q92628	KIAA0232	RecName: Full=Uncharacterized protein KIAA0232;	9778	-
61549	O43300	LRRTM2	RecName: Full=Leucine-rich repeat transmembrane neuronal protein 2; AltName: Full=Leucine-rich repeat neuronal 2 protein; Flags: Precursor;	26045	-
15712	Q9NYV4	CDK12	RecName: Full=Cyclin-dependent kinase 12; EC=2.7.11.22; EC=2.7.11.23 {ECO:0000305|PubMed:20952539}; AltName: Full=Cdc2-related kinase, arginine/serine-rich; Short=CrkRS; AltName: Full=Cell division cycle 2-related protein kinase 7; Short=CDC2-related protein kinase 7; AltName: Full=Cell division protein kinase 12; Short=hCDK12;	51755	-
19682	Q709C8	VPS13C	RecName: Full=Intermembrane lipid transfer protein VPS13C {ECO:0000303|PubMed:30093493}; AltName: Full=Vacuolar protein sorting-associated protein 13C {ECO:0000305};	54832	-
11831	P28347	TEAD1	RecName: Full=Transcriptional enhancer factor TEF-1; AltName: Full=NTEF-1; AltName: Full=Protein GT-IIC; AltName: Full=TEA domain family member 1; Short=TEAD-1; AltName: Full=Transcription factor 13; Short=TCF-13;	7003	-
9762	Q12923	PTPN13	RecName: Full=Tyrosine-protein phosphatase non-receptor type 13; EC=3.1.3.48 {ECO:0000269|PubMed:15611135, ECO:0000269|PubMed:19307596}; AltName: Full=Fas-associated protein-tyrosine phosphatase 1; Short=FAP-1; AltName: Full=PTP-BAS; AltName: Full=Protein-tyrosine phosphatase 1E; Short=PTP-E1; Short=hPTPE1; AltName: Full=Protein-tyrosine phosphatase PTPL1;	5783	-
50044	Q5H9U9	DDX60L	RecName: Full=Probable ATP-dependent RNA helicase DDX60-like {ECO:0000305}; EC=3.6.4.13; AltName: Full=DEAD box protein 60-like;	91351	-
19686	Q96RL7	VPS13A	RecName: Full=Intermembrane lipid transfer protein VPS13A {ECO:0000303|PubMed:30093493}; AltName: Full=Chorea-acanthocytosis protein {ECO:0000303|PubMed:11381253}; AltName: Full=Chorein {ECO:0000303|PubMed:11381254}; AltName: Full=Vacuolar protein sorting-associated protein 13A {ECO:0000305};	23230	-
27635	Q9NZJ4	SACS	RecName: Full=Sacsin; AltName: Full=DnaJ homolog subfamily C member 29;	26278	-
14666	Q07889	SOS1	RecName: Full=Son of sevenless homolog 1; Short=SOS-1;	6654	-
49351	Q9BZ29	DOCK9	RecName: Full=Dedicator of cytokinesis protein 9 {ECO:0000305}; AltName: Full=Cdc42 guanine nucleotide exchange factor zizimin-1 {ECO:0000305}; Short=Zizimin-1 {ECO:0000305};	23348	-
48823	Q03001	DST	RecName: Full=Dystonin {ECO:0000305}; AltName: Full=230 kDa bullous pemphigoid antigen; AltName: Full=230/240 kDa bullous pemphigoid antigen; AltName: Full=Bullous pemphigoid antigen 1; Short=BPA; Short=Bullous pemphigoid antigen; AltName: Full=Dystonia musculorum protein; AltName: Full=Hemidesmosomal plaque protein;	667	-
20412	O94888	UBXN7	RecName: Full=UBX domain-containing protein 7;	26043	-
38366	Q86YT6	MIB1	RecName: Full=E3 ubiquitin-protein ligase MIB1; EC=2.3.2.27; AltName: Full=DAPK-interacting protein 1; Short=DIP-1; AltName: Full=Mind bomb homolog 1; AltName: Full=RING-type E3 ubiquitin transferase MIB1 {ECO:0000305}; AltName: Full=Zinc finger ZZ type with ankyrin repeat domain protein 2;	57534	-
39607	O94822	LTN1	RecName: Full=E3 ubiquitin-protein ligase listerin; EC=2.3.2.27 {ECO:0000305|PubMed:25578875}; AltName: Full=RING finger protein 160; AltName: Full=RING-type E3 ubiquitin transferase listerin {ECO:0000305}; AltName: Full=Zinc finger protein 294;	26046	-
51034	P13611	VCAN	RecName: Full=Versican core protein; AltName: Full=Chondroitin sulfate proteoglycan core protein 2; Short=Chondroitin sulfate proteoglycan 2; AltName: Full=Glial hyaluronate-binding protein; Short=GHAP; AltName: Full=Large fibroblast proteoglycan; AltName: Full=PG-M; Flags: Precursor;	1462	-
43651	Q96RW7	HMCN1	RecName: Full=Hemicentin-1; AltName: Full=Fibulin-6; Short=FIBL-6; Flags: Precursor;	83872	-
38789	Q9UHV7	MED13	RecName: Full=Mediator of RNA polymerase II transcription subunit 13 {ECO:0000305}; AltName: Full=Activator-recruited cofactor 250 kDa component; Short=ARC250; AltName: Full=Mediator complex subunit 13; AltName: Full=Thyroid hormone receptor-associated protein 1; AltName: Full=Thyroid hormone receptor-associated protein complex 240 kDa component; Short=Trap240; AltName: Full=Vitamin D3 receptor-interacting protein complex component DRIP250; Short=DRIP250;	9969	-
8701	Q9UKI8	TLK1	RecName: Full=Serine/threonine-protein kinase tousled-like 1; EC=2.7.11.1; AltName: Full=PKU-beta; AltName: Full=Tousled-like kinase 1;	9874	-
9947	P42702	LIFR	RecName: Full=Leukemia inhibitory factor receptor; Short=LIF receptor; Short=LIF-R; AltName: CD_antigen=CD118; Flags: Precursor;	3977	-
30535	P49792	RANBP2	RecName: Full=E3 SUMO-protein ligase RanBP2; EC=2.3.2.- {ECO:0000269|PubMed:11792325, ECO:0000269|PubMed:12032081, ECO:0000269|PubMed:15378033, ECO:0000269|PubMed:15931224, ECO:0000269|PubMed:22194619}; AltName: Full=358 kDa nucleoporin; AltName: Full=Nuclear pore complex protein Nup358; AltName: Full=Nucleoporin Nup358; AltName: Full=Ran-binding protein 2; Short=RanBP2; AltName: Full=p270;	5903	-
